,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),label
76,2024-06-17T17:31:48.500+02:00,1718638307.999232,53.2282706637795,10.40336585635751,32.74057,0.0,0.3079722,-1,-1,3.360691840232547,4.746607987582628,-9999,3920.122135916667,-4.615631103515625,1.700225830078125,4.042404174804688,3920.097030916667,2.15338288191969,1.935222105376909,-1.168121901884206,-1.780377507209778,-12.33851909637451,0.2520374655723572,-1.343607425689697,0.319180428981781,2.520195245742798,XArbitraryZVertical,-0.753188455331406,0.0504249586491253,0.2012722364241347,0.6242226051834054,0.3661446571350098,0.9200162291526794,0.1396710574626923,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.7860793,1.562387,479.8037,0,0,2024-06-17T17:31:47.992+02:00,
77,2024-06-17T17:31:48.535+02:00,1718638307.999232,53.2282706637795,10.40336585635751,32.74057,0.0,0.3079722,-1,-1,3.360691840232547,4.746607987582628,-9999,3920.157283916667,2.393325805664062,0.415313720703125,1.840469360351562,3920.127156916667,2.524240090923203,2.214743182546216,-1.008651733756619,-5.759505748748779,2.752363681793213,0.0124560799449682,-10.16873645782471,0.3523722887039185,-13.51821804046631,XArbitraryZVertical,-0.8117656622173891,0.0321259052244062,0.24154717776262,0.5307158634982793,0.4262588620185852,0.8461139798164368,0.3199911415576935,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.7860793,1.562387,479.8037,0,0,2024-06-17T17:31:47.992+02:00,
78,2024-06-17T17:31:48.570+02:00,1718638307.999232,53.2282706637795,10.40336585635751,32.74057,0.0,0.3079722,-1,-1,3.360691840232547,4.746607987582628,-9999,3920.192431916667,-0.5439453125,0.329803466796875,-0.0493621826171875,3920.187410916667,2.453638679904911,2.163239072044377,-1.02186799694565,1.88892650604248,-0.9672574996948242,-0.978873372077942,-0.6810972690582275,-0.3255422711372375,-1.781739473342896,XArbitraryZVertical,-0.8023696754430674,0.0433482760975438,0.2403120662270729,0.5445858904198873,0.4328519403934479,0.8530842065811157,0.2913523316383362,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.7860793,1.562387,479.8037,0,0,2024-06-17T17:31:47.992+02:00,
79,2024-06-17T17:31:48.605+02:00,1718638307.999232,53.2282706637795,10.40336585635751,32.74057,0.0,0.3079722,-1,-1,3.360691840232547,4.746607987582628,-9999,3920.227579916667,0.8643035888671875,0.5125274658203125,0.2938690185546875,3920.217536916667,2.4163594295066,2.118470745495814,-1.061138076514287,-0.2043497562408447,-0.4445542097091675,-0.5986589193344116,0.2725511193275452,-0.647279679775238,0.0859563052654266,XArbitraryZVertical,-0.791064223797613,0.0351766664122589,0.2382606147783939,0.5623271111755933,0.4165204763412476,0.872911274433136,0.254040002822876,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.7860793,1.562387,479.8037,0,0,2024-06-17T17:31:47.992+02:00,
80,2024-06-17T17:31:48.640+02:00,1718638307.999232,53.2282706637795,10.40336585635751,32.74057,0.0,0.3079722,-1,-1,3.360691840232547,4.746607987582628,-9999,3920.262726916667,0.266510009765625,0.819183349609375,0.3350372314453125,3920.247663916667,2.480413751102221,2.163096837728919,-1.064488625617126,-0.508987545967102,-0.2250438332557678,-0.6302748918533325,0.1415403187274933,-0.1854237914085388,0.0074791610240936,XArbitraryZVertical,-0.7968143053093492,0.021309265203885,0.2376244654231208,0.5551282465358675,0.4023438990116119,0.8745410442352295,0.2707342505455017,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.7860793,1.562387,479.8037,0,0,2024-06-17T17:31:47.992+02:00,
81,2024-06-17T17:31:48.676+02:00,1718638307.999232,53.2282706637795,10.40336585635751,32.74057,0.0,0.3079722,-1,-1,3.360691840232547,4.746607987582628,-9999,3920.297874916667,0.2353363037109375,1.101730346679688,0.2373046875,3920.277790916667,2.533187263981678,2.209954784153864,-1.071768281000586,-0.5987843871116638,-0.0464516654610633,-0.7501286864280701,-0.0818855762481689,-0.0635035037994384,0.0446152687072753,XArbitraryZVertical,-0.8016305031126406,0.0112939870901774,0.2318130153811029,0.5509298298518361,0.3841011524200439,0.8780481219291687,0.2854780256748199,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.7860793,1.562387,479.8037,0,0,2024-06-17T17:31:47.992+02:00,
82,2024-06-17T17:31:48.711+02:00,1718638307.999232,53.2282706637795,10.40336585635751,32.74057,0.0,0.3079722,-1,-1,3.360691840232547,4.746607987582628,-9999,3920.333022916667,0.3408966064453125,0.7581634521484375,0.342864990234375,3920.307916916667,2.578967873496825,2.248344907821247,-1.081818697186282,0.0845030173659324,-0.0484606772661209,-0.7126533389091492,-0.1306307911872864,0.2189167737960815,-0.0571579933166503,XArbitraryZVertical,-0.8045062687848239,0.0009788659487233,0.2267803475028818,0.5489438434262536,0.3659670948982239,0.882813572883606,0.2944625914096832,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.7860793,1.562387,479.8037,0,0,2024-06-17T17:31:47.992+02:00,
83,2024-06-17T17:31:48.746+02:00,1718638307.999232,53.2282706637795,10.40336585635751,32.74057,0.0,0.3079722,-1,-1,3.360691840232547,4.746607987582628,-9999,3920.368170916667,0.3323974609375,0.773284912109375,0.317779541015625,3920.338043916667,2.604374862311817,2.269361060269572,-1.101870102772399,0.0317425355315208,-0.0338937453925609,-0.8238332271575928,-0.019243448972702,-0.1070810556411743,0.0563256442546844,XArbitraryZVertical,-0.8032770105437228,-0.0082448477018634,0.2210881489371496,0.5529900548841754,0.3460714221000671,0.8920540809631348,0.2906438708305359,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.7860793,1.562387,479.8037,0,0,2024-06-17T17:31:47.992+02:00,
84,2024-06-17T17:31:48.781+02:00,1718638307.999232,53.2282706637795,10.40336585635751,32.74057,0.0,0.3079722,-1,-1,3.360691840232547,4.746607987582628,-9999,3920.403318916667,0.163818359375,0.608245849609375,0.06744384765625,3920.398296916667,2.649647052271556,2.308386116461521,-1.161912387315678,1.164746522903442,-0.0544272772967815,-1.187480926513672,-0.0501395761966705,-0.2064445614814758,-0.1097248792648315,XArbitraryZVertical,-0.7955081495674952,-0.0292595318332597,0.2058781288363272,0.5691439671882216,0.2942496836185455,0.9175651073455812,0.2673786580562592,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.7860793,1.562387,479.8037,0,0,2024-06-17T17:31:47.992+02:00,
85,2024-06-17T17:31:48.816+02:00,1718638307.999232,53.2282706637795,10.40336585635751,32.74057,0.0,0.3079722,-1,-1,3.360691840232547,4.746607987582628,-9999,3920.438465916667,-0.001220703125,0.555694580078125,0.0370635986328125,3920.428423916667,2.63713875316694,2.297228919018159,-1.225221528549577,1.76898455619812,0.0705856829881668,-1.781524181365967,-0.1535983383655548,-0.4569788575172424,-0.1928264796733856,XArbitraryZVertical,-0.7814986288508436,-0.0419036768801832,0.1937317036916792,0.5915843782297763,0.2532230019569397,0.9408808946609496,0.2249920517206192,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.7860793,1.562387,479.8037,0,0,2024-06-17T17:31:47.992+02:00,
