,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),label
162,2024-04-17T12:59:32.228+02:00,126113.3266756667,-2.011566162109375,1.4576416015625,-2.157424926757812,126113.2867636667,0.0298548722510881,0.9148742969253572,-0.5004061382849498,-3.828094959259033,-6.169120311737061,0.6841824650764465,-0.2024128437042236,0.4577792584896088,1.522857546806335,XArbitraryZVertical,-0.228506643237183,0.4245345559603706,-0.0963654939308268,0.8707864002143156,0.6953175067901611,0.4797819256782532,-0.5351102352142334,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,735044370.3390403,0,-0.6000004,99.66582,
163,2024-04-17T12:59:32.262+02:00,126113.3615986667,0.6381988525390625,-4.302719116210938,0.016510009765625,126113.3466316667,-0.0037663608786474,0.6515320961966349,-0.4457919291668943,6.402991771697998,-0.3761500716209412,2.297607898712158,-2.34226131439209,3.376444816589355,-8.16603946685791,XArbitraryZVertical,-0.2088405233385108,0.3125112495276431,-0.0724850800237962,0.9238334996678514,0.5471410751342773,0.4311725497245789,-0.7174447178840637,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,735044370.3390403,0,-0.6000004,99.66582,
164,2024-04-17T12:59:32.297+02:00,126113.3965206667,-0.1449127197265625,0.981964111328125,-0.4662628173828125,126113.3466316667,-0.0037663608786474,0.6515320961966349,-0.4457919291668943,6.402991771697998,-0.3761500716209412,2.297607898712158,-2.34226131439209,3.376444816589355,-8.16603946685791,XArbitraryZVertical,-0.2088405233385108,0.3125112495276431,-0.0724850800237962,0.9238334996678514,0.5471410751342773,0.4311725497245789,-0.7174447178840637,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,735044370.3390403,0,-0.6000004,99.66582,
165,2024-04-17T12:59:32.332+02:00,126113.4314436667,0.210540771484375,0.49603271484375,-0.865570068359375,126113.4064986667,0.0799813474138484,0.7355604253001845,-0.5953530549411783,-0.4111810624599457,0.8831062316894531,-1.948882460594177,-0.8489684462547302,0.5608726143836975,-0.0964695811271667,XArbitraryZVertical,-0.2872097094842784,0.3325155839061096,-0.0697043783644536,0.8955921411179676,0.555557131767273,0.560801088809967,-0.6138879656791687,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,735044370.3390403,0,-0.6000004,99.66582,
166,2024-04-17T12:59:32.367+02:00,126113.4663666667,0.288330078125,0.3459320068359375,-0.5523681640625,126113.4064986667,0.0799813474138484,0.7355604253001845,-0.5953530549411783,-0.4111810624599457,0.8831062316894531,-1.948882460594177,-0.8489684462547302,0.5608726143836975,-0.0964695811271667,XArbitraryZVertical,-0.2872097094842784,0.3325155839061096,-0.0697043783644536,0.8955921411179676,0.555557131767273,0.560801088809967,-0.6138879656791687,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,735044370.3390403,0,-0.6000004,99.66582,
167,2024-04-17T12:59:32.401+02:00,126113.5012896667,0.2390289306640625,0.594696044921875,-0.4526824951171875,126113.4663666667,-0.1772779174034453,0.6953613426192241,-0.5292316378112695,1.459042310714722,1.757054328918457,-2.156675338745117,-0.221504807472229,-0.2909724116325378,0.0826567411422729,XArbitraryZVertical,-0.2158125696710121,0.3493346009745291,-0.1690904183211786,0.8959903880396809,0.5530171990394592,0.5048702359199524,-0.6627805233001709,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,735044370.3390403,0,-0.6000004,99.66582,
168,2024-04-17T12:59:32.436+02:00,126113.5362116667,0.5061492919921875,0.71343994140625,-0.1271514892578125,126113.5262346667,-0.3290867121295924,0.6998261426671581,-0.588976036017374,-0.0899698361754417,0.5914046168327332,-2.516347646713257,-0.1337836980819702,0.0617998242378234,0.3916822671890259,XArbitraryZVertical,-0.2152422116909053,0.3682896785616887,-0.2454100794154012,0.8705213456742023,0.5355628132820129,0.5555098652839661,-0.6360670328140259,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,735044370.3390403,0,-0.6000004,99.66582,
169,2024-04-17T12:59:32.472+02:00,126113.5711346667,0.4089813232421875,0.64935302734375,-0.04071044921875,126113.5262346667,-0.3290867121295924,0.6998261426671581,-0.588976036017374,-0.0899698361754417,0.5914046168327332,-2.516347646713257,-0.1337836980819702,0.0617998242378234,0.3916822671890259,XArbitraryZVertical,-0.2152422116909053,0.3682896785616887,-0.2454100794154012,0.8705213456742023,0.5355628132820129,0.5555098652839661,-0.6360670328140259,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,735044370.3390403,0,-0.6000004,99.66582,
170,2024-04-17T12:59:32.507+02:00,126113.6060576667,0.255157470703125,0.79449462890625,-0.0957489013671875,126113.5861016667,-0.4743740917401829,0.6021037813639649,-0.7020988637769352,0.3350483179092407,-0.8043782114982605,-2.802100658416748,-0.07411590218544,0.0477058291435241,0.6636650562286377,XArbitraryZVertical,-0.2537975165323985,0.3478129629018618,-0.3098309756904117,0.8477133922152568,0.4324227571487427,0.6458215713500977,-0.6292259097099304,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,735044370.3390403,0,-0.6000004,99.66582,
171,2024-04-17T12:59:32.541+02:00,126113.640978875,0.29132080078125,0.4557647705078125,-0.2841949462890625,126113.5861016667,-0.4743740917401829,0.6021037813639649,-0.7020988637769352,0.3350483179092407,-0.8043782114982605,-2.802100658416748,-0.07411590218544,0.0477058291435241,0.6636650562286377,XArbitraryZVertical,-0.2537975165323985,0.3478129629018618,-0.3098309756904117,0.8477133922152568,0.4324227571487427,0.6458215713500977,-0.6292259097099304,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,735044370.3390403,0,-0.6000004,99.66582,
