loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2024-04-16T12:21:16.550+02:00,1,1713262875.999671,53.22954761561683,10.39991883491558,35.13927,0.1397466,0.7605031,-1,-1,2.400000095367432,16.07234509893536,-9999,1713262876.539389,16.82586669921875,76.76823425292969,-22.90708923339844,160.0202484130859,155.8630065917969,13.44052028656006,432756.172190625,-0.017303466796875,-0.021331787109375,-1.00152587890625,432756.147279625,0.01220686547458172,0.05536925047636032,-0.00138031633105129,432756.148381625,518.19482421875,-27.339111328125,-261.0338745117188,432756.162225625,-0.4354313836920907,-0.01488010518816182,0.02252739906097679,-0.0007475359016098082,-0.002696029376238585,-0.0003115389263257384,0.003172324970364571,0.003680862486362457,0.01146119832992554,XArbitraryCorrectedZVertical,0.009390331366603321,-0.009696727259107987,-0.2160619280529042,0.9762864502516335,-0.01487578079104424,-0.02252549305558205,-0.9996355772018433,16.8175048828125,76.78757476806641,-23.00981140136719,-1,2,432754.8556339167,stationary,0,2024-04-16T12:21:15.203+02:00,null,0,0,0,0,0,0,0,null,432752.504023,0,-0.1294861,99.37009,0,,,my_iOS_device,0,5,1713262876.528978,1,0.9,0
2024-04-16T12:21:16.584+02:00,2,1713262875.999671,53.22954761561683,10.39991883491558,35.13927,0.1397466,0.7605031,-1,-1,2.400000095367432,16.07234509893536,-9999,1713262876.580626,16.88946533203125,76.72678375244141,-23.08677673339844,160.0205078125,155.8632659912109,13.44050598144531,432756.2319776251,-0.0179290771484375,-0.020782470703125,-0.995269775390625,432756.207066625,0.001193096162751317,0.007041131611913443,-0.0008713863207958639,432756.210715625,518.3719482421875,-27.32308959960938,-261.21337890625,432756.197101625,-0.4354373361186752,-0.01484676050090313,0.02251992128247443,-0.003984670154750347,-0.01639679819345474,-0.000377663760446012,0.003383135423064232,0.0004843007773160934,0.01588690280914307,XArbitraryCorrectedZVertical,0.009390255091051059,-0.00967967264565639,-0.2160646826820018,0.9762858873969895,-0.0148424506187439,-0.02251801826059818,-0.9996362328529358,16.78759765625,76.74528503417969,-22.98222351074219,-1,2,432754.8556339167,stationary,0,2024-04-16T12:21:15.203+02:00,null,0,0,0,0,0,0,0,null,432752.504023,0,-0.1294861,99.37009,1713262876.552763,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1713262876.528978,1,0.9,0
2024-04-16T12:21:16.649+02:00,3,1713262875.999671,53.22954761561683,10.39991883491558,35.13927,0.1397466,0.7605031,-1,-1,2.400000095367432,16.07234509893536,-9999,1713262876.639112,16.80548095703125,76.78117370605469,-23.01145935058594,160.0197906494141,155.862548828125,13.44048690795898,432756.291764625,-0.0134429931640625,-0.020538330078125,-0.9925537109375,432756.266853625,-0.003748132847249508,-0.01132482569664717,-0.0007981493836268783,432756.2730506251,518.3333740234375,-27.35447692871094,-261.0440673828125,432756.266853625,-0.4354395337485285,-0.01482949326330815,0.02249905365761553,-0.002828009659424424,-0.01076559443026781,0.0003108062082901597,0.0002225693315267563,-0.001031925901770592,0.007068037986755371,XArbitraryCorrectedZVertical,0.009381922570085589,-0.009668999972072125,-0.216065603694883,0.9762859764969063,-0.01482519693672657,-0.02249715477228165,-0.9996370077133179,16.79168701171875,76.6136474609375,-23.05763244628906,-1,2,432754.8556339167,stationary,0,2024-04-16T12:21:15.203+02:00,null,0,0,0,0,0,0,0,null,432753.566351,0,-0.1400452,99.37022,1713262876.552763,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1713262876.528978,1,0.9,0
2024-04-16T12:21:16.704+02:00,4,1713262875.999671,53.22954761561683,10.39991883491558,35.13927,0.1397466,0.7605031,-1,-1,2.400000095367432,16.07234509893536,-9999,1713262876.698941,16.7005615234375,76.80328369140625,-22.93180847167969,160.0199890136719,155.8627471923828,13.44046688079834,432756.351551625,-0.0136566162109375,-0.0212554931640625,-0.995391845703125,432756.326640625,-0.002014415105804801,-0.0008892294717952609,-0.000945954816415906,432756.335384625,518.1739501953125,-27.36000061035156,-260.9035034179688,432756.336604625,-0.4354288616366093,-0.01485649350821528,0.02246819956930626,0.0004972096066921949,-0.001970560755580664,-0.0003431090153753757,-0.0004828507080674171,0.001805882900953293,0.004245460033416748,XArbitraryCorrectedZVertical,0.009363995650376253,-0.009678799518529617,-0.2160604503420035,0.9762871713536233,-0.01485219690948725,-0.02246630936861038,-0.999637246131897,16.79052734375,76.7352294921875,-22.91477966308594,-1,2,432754.8556339167,stationary,0,2024-04-16T12:21:15.203+02:00,null,0,0,0,0,0,0,0,null,432753.566351,0,-0.1400452,99.37022,1713262876.552763,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1713262876.528978,1,0.9,0
2024-04-16T12:21:16.766+02:00,5,1713262875.999671,53.22954761561683,10.39991883491558,35.13927,0.1397466,0.7605031,-1,-1,2.400000095367432,16.07234509893536,-9999,1713262876.75863,16.8524169921875,76.70906066894531,-23.01884460449219,160.0209655761719,155.8637237548828,13.4404468536377,432756.411338625,-0.01898193359375,-0.020904541015625,-0.994171142578125,432756.386427625,-0.0008428904693573713,0.00138084904756397,-0.001656486187130213,432756.397717625,518.1630859375,-27.35452270507812,-261.0242309570312,432756.406356625,-0.4354521017613942,-0.01486869172306525,0.02245038363748383,-0.001733072102069855,0.0007233716896735132,-0.001186321256682277,-0.003797067329287529,0.001116683706641197,0.006046175956726074,XArbitraryCorrectedZVertical,0.009353868529690204,-0.009682940063404914,-0.2160718172352036,0.9762846681908084,-0.01486439723521471,-0.02244849689304829,-0.9996374845504761,16.8524169921875,76.70906066894531,-23.01884460449219,-1,2,432754.8556339167,stationary,0,2024-04-16T12:21:15.203+02:00,null,0,0,0,0,0,0,0,null,432753.566351,0,-0.1400452,99.37022,1713262876.552763,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1713262876.528978,1,0.9,0
2024-04-16T12:21:16.832+02:00,6,1713262875.999671,53.22954761561683,10.39991883491558,35.13927,0.1397466,0.7605031,-1,-1,2.400000095367432,16.07234509893536,-9999,1713262876.818335,16.967041015625,76.61859130859375,-23.06816101074219,160.0218505859375,155.8646087646484,13.44042873382568,432756.4711260417,-0.012908935546875,-0.0235595703125,-0.99444580078125,432756.446214625,-0.0004817658336833119,0.00324426288716495,-0.001098820241168141,432756.460055625,518.336669921875,-27.482421875,-261.0955505371094,432756.441231625,-0.435463504289932,-0.0148895553195585,0.02243076186976788,5.292397690936923e-05,0.001764785265550017,0.0002576712286099792,-0.001350057311356068,0.0007766317576169968,0.0063820481300354,XArbitraryCorrectedZVertical,0.009341981000262038,-0.009691060273177511,-0.2160774448362158,0.9762833957774352,-0.01488525979220867,-0.02242888137698174,-0.9996376037597656,16.90594482421875,76.80204772949219,-23.04356384277344,-1,2,432754.8556339167,stationary,0,2024-04-16T12:21:15.203+02:00,null,0,0,0,0,0,0,0,null,432753.566351,0,-0.1400452,99.37022,1713262876.552763,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1713262876.528978,1,0.9,0
2024-04-16T12:21:16.883+02:00,7,1713262875.999671,53.22954761561683,10.39991883491558,35.13927,0.1397466,0.7605031,-1,-1,2.400000095367432,16.07234509893536,-9999,1713262876.87817,17.00384521484375,76.77799224853516,-23.13896179199219,160.0234680175781,155.8662261962891,13.44040966033936,432756.5309130417,-0.0154876708984375,-0.0225830078125,-0.9953765869140625,432756.5060020417,-0.003274356480687857,-0.004270378965884447,-0.001789644244126976,432756.5223940417,518.4104614257812,-27.2689208984375,-261.1414794921875,432756.5109840417,-0.4355007271404929,-0.01493425018298734,0.02236777788950738,0.001070821075700223,0.004355804063379765,-0.001255006762221456,0.002494079992175102,0.001308755949139595,0.006687939167022705,XArbitraryCorrectedZVertical,0.009306225247266414,-0.009706251117444534,-0.216095667054702,0.976279569247508,-0.01492995955049992,-0.02236591279506683,-0.9996383786201477,16.95623779296875,76.71067047119141,-23.12940979003906,-1,2,432754.8556339167,stationary,0,2024-04-16T12:21:15.203+02:00,null,0,0,0,0,0,0,0,null,432753.566351,0,-0.1400452,99.37022,1713262876.552763,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1713262876.528978,1,0.9,0
2024-04-16T12:21:16.946+02:00,8,1713262875.999671,53.22954761561683,10.39991883491558,35.13927,0.1397466,0.7605031,-1,-1,2.400000095367432,16.07234509893536,-9999,1713262876.93799,16.80523681640625,76.74789428710938,-22.87010192871094,160.0253143310547,155.8680725097656,13.44039154052734,432756.5907000417,-0.0157623291015625,-0.0220489501953125,-0.9958343505859375,432756.5657880417,-0.0001012001230265014,0.001629854552447796,-0.002516687149181962,432756.5847310417,518.191650390625,-27.32611083984375,-260.9185791015625,432756.5807350417,-0.4355302801762547,-0.01495404824849082,0.02235624454881942,-0.0003712681937031448,0.002457690425217152,0.0001724017201922834,-0.001758585684001446,0.0007936842739582062,0.00784754753112793,XArbitraryCorrectedZVertical,0.009298312312736694,-0.009714807119897639,-0.2161101511342595,0.9762763840084847,-0.01494975388050079,-0.02235438302159309,-0.9996383190155029,16.8082275390625,76.74866485595703,-22.74507141113281,-1,2,432754.8556339167,stationary,0,2024-04-16T12:21:15.203+02:00,null,0,0,0,0,0,0,0,null,432753.566351,0,-0.1400452,99.37022,1713262876.552763,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1713262876.528978,1,0.9,0
2024-04-16T12:21:17.003+02:00,9,1713262875.999671,53.22954761561683,10.39991883491558,35.13927,0.1397466,0.7605031,-1,-1,2.400000095367432,16.07234509893536,-9999,1713262876.997779,16.978515625,76.75255584716797,-23.00578308105469,160.02587890625,155.8686370849609,13.44037437438965,432756.6504870417,-0.0149688720703125,-0.022705078125,-0.9940338134765625,432756.6255750417,-0.003665308468043804,-0.003935885615646839,-0.000904409505892545,432756.6470710417,518.4134521484375,-27.30589294433594,-260.9852294921875,432756.6156110417,-0.4355199654174297,-0.01496552317642694,0.02234330572850474,-0.0002244538045488298,0.002699032193049788,-0.001092936610803008,0.001564046368002892,0.003206897526979446,0.00729835033416748,XArbitraryCorrectedZVertical,0.009290806148465452,-0.009718962983425556,-0.2161051303048084,0.9762775646836269,-0.01496122963726521,-0.02234144695103168,-0.9996384382247925,16.7933349609375,76.80426788330078,-22.97990417480469,-1,2,432754.8556339167,stationary,0,2024-04-16T12:21:15.203+02:00,null,0,0,0,0,0,0,0,null,432753.566351,0,-0.1400452,99.37022,1713262876.552763,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1713262876.528978,1,0.9,0
2024-04-16T12:21:17.065+02:00,10,1713262875.999671,53.22954761561683,10.39991883491558,35.13927,0.1397466,0.7605031,-1,-1,2.400000095367432,16.07234509893536,-9999,1713262877.057584,16.8663330078125,76.89337921142578,-23.00141906738281,160.0268402099609,155.8695983886719,13.44035720825195,432756.7102740417,-0.0178985595703125,-0.02362060546875,-0.9931182861328125,432756.6853620417,0.0007582019316032529,-0.001368864788673818,-0.0007041397620923817,432756.7094110417,518.19189453125,-27.36260986328125,-260.7073974609375,432756.6853620417,-0.4355314063044822,-0.0149769212867638,0.02232199178489973,0.001678177621215582,-0.0008086859597824514,0.0004057343467138708,-0.001659414730966091,0.001507123932242393,0.005604982376098633,XArbitraryCorrectedZVertical,0.009279114403218212,-0.009722278669045591,-0.2161107162414085,0.9762764039614715,-0.01497262995690107,-0.02232013829052448,-0.9996387362480164,16.85662841796875,76.76924133300781,-22.87046813964844,-1,2,432754.8556339167,stationary,0,2024-04-16T12:21:15.203+02:00,null,0,0,0,0,0,0,0,null,432753.566351,0,-0.1400452,99.37022,1713262876.552763,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1713262876.528978,1,0.9,0
