loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2024-06-20T18:00:21.849+02:00,4827.375687125001,-0.3537750244140625,-0.1203765869140625,-0.858978271484375
2024-06-20T18:00:21.850+02:00,4827.385744125,-0.3248291015625,-0.077606201171875,-0.898651123046875
2024-06-20T18:00:21.850+02:00,4827.395802125,-0.2755279541015625,-0.0504150390625,-0.972259521484375
2024-06-20T18:00:21.855+02:00,4827.405859125,-0.2555084228515625,-0.0250701904296875,-1.061447143554688
2024-06-20T18:00:21.858+02:00,4827.415916125,-0.3188323974609375,-0.0906982421875,-1.107040405273438
2024-06-20T18:00:21.858+02:00,4827.425974125001,-0.303070068359375,-0.2064056396484375,-1.067092895507812
2024-06-20T18:00:21.859+02:00,4827.436031125,-0.269561767578125,-0.2713623046875,-1.010406494140625
2024-06-20T18:00:21.859+02:00,4827.446089125,-0.3662261962890625,-0.24713134765625,-0.936004638671875
2024-06-20T18:00:21.859+02:00,4827.456146125,-0.3683624267578125,-0.1605072021484375,-0.8941497802734375
2024-06-20T18:00:21.859+02:00,4827.466204125,-0.303070068359375,-0.0934600830078125,-0.9220123291015625
2024-06-20T18:00:21.860+02:00,4827.476261125001,-0.29681396484375,-0.018310546875,-0.89288330078125
2024-06-20T18:00:21.860+02:00,4827.486318125,-0.2756500244140625,0.0169219970703125,-0.89471435546875
2024-06-20T18:00:21.860+02:00,4827.496376125,-0.2614898681640625,-0.0257720947265625,-0.865325927734375
2024-06-20T18:00:21.860+02:00,4827.506433125001,-0.2476806640625,-0.06097412109375,-0.886749267578125
2024-06-20T18:00:21.860+02:00,4827.516491125,-0.2692718505859375,-0.0824127197265625,-0.889373779296875
2024-06-20T18:00:21.861+02:00,4827.526548125,-0.325927734375,-0.1137542724609375,-0.834716796875
2024-06-20T18:00:21.861+02:00,4827.536605125,-0.381561279296875,-0.1825408935546875,-0.7372589111328125
2024-06-20T18:00:21.861+02:00,4827.546663125,-0.3701629638671875,-0.1989288330078125,-0.612213134765625
2024-06-20T18:00:21.861+02:00,4827.556720125001,-0.2693023681640625,-0.1420745849609375,-0.6713714599609375
2024-06-20T18:00:21.862+02:00,4827.566778125,-0.2608184814453125,-0.0994415283203125,-0.7551422119140625
2024-06-20T18:00:21.862+02:00,4827.576835125,-0.3502197265625,-0.077545166015625,-0.841766357421875
2024-06-20T18:00:21.862+02:00,4827.586893125001,-0.363494873046875,-0.028228759765625,-0.9392547607421875
2024-06-20T18:00:21.862+02:00,4827.596950125,-0.29632568359375,0.0041046142578125,-1.06915283203125
2024-06-20T18:00:21.862+02:00,4827.607007125001,-0.2417755126953125,0.0186309814453125,-1.163818359375
2024-06-20T18:00:21.863+02:00,4827.617065750001,-0.2027740478515625,0.0450897216796875,-1.20208740234375
2024-06-20T18:00:21.863+02:00,4827.62712275,-0.206695556640625,0.0137939453125,-1.216262817382812
2024-06-20T18:00:21.863+02:00,4827.63718075,-0.2722625732421875,-0.0672760009765625,-1.139907836914062
2024-06-20T18:00:21.863+02:00,4827.64723775,-0.3292236328125,-0.1732177734375,-0.9969635009765625
2024-06-20T18:00:21.863+02:00,4827.65729575,-0.3037567138671875,-0.2453460693359375,-0.9573974609375
2024-06-20T18:00:21.864+02:00,4827.667352750001,-0.2991790771484375,-0.1728515625,-0.986663818359375
2024-06-20T18:00:21.864+02:00,4827.67740975,-0.3921356201171875,-0.1044921875,-0.9798431396484375
2024-06-20T18:00:21.864+02:00,4827.68746775,-0.437591552734375,-0.0685272216796875,-0.9411163330078125
2024-06-20T18:00:21.865+02:00,4827.69752475,-0.3165283203125,-0.075286865234375,-0.916015625
2024-06-20T18:00:21.865+02:00,4827.70758275,-0.26312255859375,-0.1002960205078125,-0.987091064453125
2024-06-20T18:00:21.865+02:00,4827.717639750001,-0.28436279296875,-0.08905029296875,-0.98358154296875
2024-06-20T18:00:21.866+02:00,4827.72769675,-0.2400970458984375,-0.1779937744140625,-0.9874420166015625
2024-06-20T18:00:21.866+02:00,4827.73775475,-0.221405029296875,-0.2061920166015625,-0.9968414306640625
2024-06-20T18:00:21.866+02:00,4827.74781175,-0.217193603515625,-0.18524169921875,-1.033599853515625
2024-06-20T18:00:21.866+02:00,4827.75786975,-0.25030517578125,-0.171539306640625,-1.006759643554688
2024-06-20T18:00:21.867+02:00,4827.767926750001,-0.296478271484375,-0.12542724609375,-0.9224090576171875
2024-06-20T18:00:21.867+02:00,4827.777984750001,-0.3333740234375,-0.1084442138671875,-0.9189910888671875
2024-06-20T18:00:21.867+02:00,4827.78804175,-0.3812408447265625,-0.0974273681640625,-0.885833740234375
2024-06-20T18:00:21.867+02:00,4827.79809875,-0.3575286865234375,-0.0644989013671875,-0.86541748046875
2024-06-20T18:00:21.868+02:00,4827.80815675,-0.2937774658203125,-0.0684814453125,-0.8900909423828125
2024-06-20T18:00:21.868+02:00,4827.818213750001,-0.2446441650390625,-0.045074462890625,-0.8905792236328125
2024-06-20T18:00:21.868+02:00,4827.828271750001,-0.2740325927734375,-0.03070068359375,-0.9251251220703125
2024-06-20T18:00:21.868+02:00,4827.83832875,-0.266754150390625,-0.0428466796875,-0.9402618408203125
2024-06-20T18:00:21.868+02:00,4827.84838575,-0.19146728515625,-0.0454254150390625,-0.9039764404296875
2024-06-20T18:00:21.869+02:00,4827.85844375,-0.2108917236328125,-0.0451202392578125,-0.8649139404296875
2024-06-20T18:00:21.869+02:00,4827.86850075,-0.3003692626953125,-0.119720458984375,-0.90087890625
