loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
2024-06-17T17:31:45.829+02:00,1718638304.999274,53.2282706637795,10.40336585635751,32.74057,0,0.3079722,-1,-1,3.360639727611937,4.746644883913816,-9999,3917.45090525,-0.068145751953125,-0.077545166015625,-1.000717163085938,3917.44588425,0.9026586689323062,-0.09088609566234909,0.06469319501929408,-0.07932014018297195,-0.04293829202651978,-0.09937870502471924,0.02566028386354446,-0.02873571217060089,-0.005752742290496826,XArbitraryZVertical,0.04887590174885987,-0.02676595320143541,0.4341618877842471,0.8991096746547625,-0.09057116508483887,-0.06464807689189911,-0.9937894344329834,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.8216969,1.562387,479.8037,0,0,2024-06-17T17:31:45.421+02:00
2024-06-17T17:31:45.864+02:00,1718638304.999274,53.2282706637795,10.40336585635751,32.74057,0,0.3079722,-1,-1,3.360639727611937,4.746644883913816,-9999,3917.48605225,-0.05828857421875,-0.0637054443359375,-1.00274658203125,3917.47601025,0.900216549166836,-0.09192261518904947,0.06531006529548275,0.1200830489397049,-0.05768663808703423,-0.07030174136161804,0.01995750516653061,0.02607906609773636,-0.008923590183258057,XArbitraryZVertical,0.04934469357594083,-0.02715746537735524,0.4330212296684228,0.8996222074893958,-0.09159751981496811,-0.06526364386081696,-0.9936551451683044,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.8216969,1.562387,479.8037,0,0,2024-06-17T17:31:45.421+02:00
2024-06-17T17:31:45.899+02:00,1718638304.999274,53.2282706637795,10.40336585635751,32.74057,0,0.3079722,-1,-1,3.360639727611937,4.746644883913816,-9999,3917.52120025,-0.0826263427734375,-0.0421600341796875,-1.010330200195312,3917.50613725,0.8984706830396282,-0.0941159933795685,0.06631492876622436,-0.04317904263734818,-0.07229144126176834,-0.02364391088485718,0.03494792431592941,-0.01161452382802963,-0.01335829496383667,XArbitraryZVertical,0.05024645539437256,-0.02796899906685431,0.4321529268556119,0.8999650141056208,-0.09377054870128632,-0.06626633554697037,-0.9933860301971436,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.8216969,1.562387,479.8037,0,0,2024-06-17T17:31:45.421+02:00
2024-06-17T17:31:45.934+02:00,1718638304.999274,53.2282706637795,10.40336585635751,32.74057,0,0.3079722,-1,-1,3.360639727611937,4.746644883913816,-9999,3917.55634825,-0.07232666015625,-0.060699462890625,-1.00006103515625,3917.53626325,0.8968264080789375,-0.09574938753082708,0.06667633469474157,0.02746989391744137,-0.09742819517850876,-0.06697492301464081,0.01776925474405289,0.02872410416603088,-0.01138520240783691,XArbitraryZVertical,0.05073820567250902,-0.02866710977425787,0.4313613638332724,0.9002950281711242,-0.09539071470499039,-0.06662694364786148,-0.9932076334953308,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.8216969,1.562387,479.8037,0,0,2024-06-17T17:31:45.421+02:00
2024-06-17T17:31:45.969+02:00,1718638304.999274,53.2282706637795,10.40336585635751,32.74057,0,0.3079722,-1,-1,3.360639727611937,4.746644883913816,-9999,3917.59149625,-0.09124755859375,-0.071197509765625,-1.003402709960938,3917.56639025,0.8950197912382197,-0.09800448876262323,0.06591682182659511,-0.05019208043813705,-0.1098859533667564,-0.0547393374145031,0.0253085270524025,0.005169622600078583,-0.007020950317382812,XArbitraryZVertical,0.05085623051304122,-0.02989307590599418,0.4305127031011574,0.9006545906993476,-0.0976351797580719,-0.06586910039186478,-0.9930400848388672,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.8216969,1.562387,479.8037,0,0,2024-06-17T17:31:45.421+02:00
2024-06-17T17:31:46.005+02:00,1718638304.999274,53.2282706637795,10.40336585635751,32.74057,0,0.3079722,-1,-1,3.360639727611937,4.746644883913816,-9999,3917.62664325,-0.1060333251953125,-0.0527191162109375,-0.992034912109375,3917.59651725,0.8925517358109903,-0.1004804430601036,0.06428659019107656,-0.07514896243810654,-0.1155650392174721,-0.06380730867385864,0.01070299744606018,-0.005536139011383057,-0.007358551025390625,XArbitraryZVertical,0.05061745255524465,-0.03142381877400925,0.4293860143610592,0.9011537631587178,-0.1001042351126671,-0.06424231827259064,-0.9929008483886719,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.8216969,1.562387,479.8037,0,0,2024-06-17T17:31:45.421+02:00
2024-06-17T17:31:46.040+02:00,1718638304.999274,53.2282706637795,10.40336585635751,32.74057,0,0.3079722,-1,-1,3.360639727611937,4.746644883913816,-9999,3917.661791125,-0.110260009765625,-0.0857086181640625,-0.9991455078125,3917.65677025,0.8919032269983184,-0.1048451302730053,0.06464803038681294,-0.03165694326162338,-0.07677771896123886,-0.03121674433350563,0.0043674036860466,-0.01545985788106918,-0.01126128435134888,XArbitraryZVertical,0.05170617050417108,-0.03332900945941832,0.4289712617643088,0.901221092696854,-0.104434534907341,-0.06460300832986832,-0.9924312829971313,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.8216969,1.562387,479.8037,0,0,2024-06-17T17:31:45.421+02:00
2024-06-17T17:31:46.075+02:00,1718638304.999274,53.2282706637795,10.40336585635751,32.74057,0,0.3079722,-1,-1,3.360639727611937,4.746644883913816,-9999,3917.696939125,-0.0993804931640625,-0.04107666015625,-0.98077392578125,3917.686897125,0.8905278376257612,-0.1058337633939296,0.06400433010526739,0.02250163443386555,-0.02337889187037945,-0.0479460135102272,-0.008013829588890076,-9.576231241226196e-05,0.001081466674804688,XArbitraryZVertical,0.05160530332762261,-0.03394903713400108,0.4283456253570084,0.9015011694835674,-0.1054200083017349,-0.06396064162254333,-0.9923686981201172,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.8216969,1.562387,479.8037,0,0,2024-06-17T17:31:45.421+02:00
2024-06-17T17:31:46.115+02:00,1718638304.999274,53.2282706637795,10.40336585635751,32.74057,0,0.3079722,-1,-1,3.360639727611937,4.746644883913816,-9999,3917.732087125,-0.1367645263671875,-0.107513427734375,-0.9880218505859375,3917.717023125,0.8935739650389133,-0.1094928278624106,0.06501931280796075,0.05712825432419777,-0.1883393824100494,0.1213884726166725,0.06708161532878876,0.07826390862464905,0.01998746395111084,XArbitraryZVertical,0.05289941302581368,-0.03529883480658828,0.4295908563226599,0.9007814901810728,-0.1090432852506638,-0.06497351080179214,-0.9919112920761108,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.8216969,1.562387,479.8037,0,0,2024-06-17T17:31:45.421+02:00
2024-06-17T17:31:46.145+02:00,1718638304.999274,53.2282706637795,10.40336585635751,32.74057,0,0.3079722,-1,-1,3.360639727611937,4.746644883913816,-9999,3917.767234125,-0.12060546875,-0.055908203125,-0.9852752685546875,3917.747150125,0.894142414632992,-0.1134245678338871,0.06394642811424564,-0.1331357061862946,-0.0931425541639328,0.0339662991464138,-0.02796471863985062,-0.035462386906147,0.0009430050849914551,XArbitraryZVertical,0.05327208897664262,-0.03728661733650494,0.4297768614799274,0.9005908025385089,-0.1129501909017563,-0.06390285491943359,-0.9915435910224915,0,0,0,-1,-1,3911.902580125,unknown,2,2024-06-17T17:31:40.279+02:00,2024-06-17T17:02:09.908+02:00,596,1.966004,0.8216969,1.562387,479.8037,0,0,2024-06-17T17:31:45.421+02:00
