loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2024-04-09T13:03:11.896+02:00,1712660590.99881,53.22969102918199,10.40021009298944,35.26184,0,1.211609,73.68775718045516,180,3.367310073407493,4.74191521458548,-9999,28657.03714054167,0.35888671875,-0.0565338134765625,-0.9156646728515625,28657.01718454167,2.522999289909164,0.3924885842896037,0.02518082885055276,0.1833979785442352,-0.1159121692180634,0.06377429515123367,0.07852399349212646,0.08105587214231491,-0.01360398530960083,XArbitraryZVertical,-0.1819611103056413,0.07110964218727454,0.9349376647316067,0.2961841615012614,0.3823677003383636,-0.02517816796898842,-0.9236671328544617,0,0,0,-1,-1,28637.56994825,unknown,2,2024-04-09T13:02:52.315+02:00,2024-04-09T08:50:23.531+02:00,2387,1.337689,0,0,1970.191,2,0,2024-04-09T12:41:02.932+02:00,734353390.2513243,0,42.68,99.44483,1,0.85
2024-04-09T13:03:11.903+02:00,1712660590.99881,53.22969102918199,10.40021009298944,35.26184,0,1.211609,73.68775718045516,180,3.367310073407493,4.74191521458548,-9999,28657.07206454167,0.3844757080078125,-0.0272216796875,-0.9368896484375,28657.01718454167,2.522999289909164,0.3924885842896037,0.02518082885055276,0.1833979785442352,-0.1159121692180634,0.06377429515123367,0.07852399349212646,0.08105587214231491,-0.01360398530960083,XArbitraryZVertical,-0.1819611103056413,0.07110964218727454,0.9349376647316067,0.2961841615012614,0.3823677003383636,-0.02517816796898842,-0.9236671328544617,0,0,0,-1,-1,28637.56994825,unknown,2,2024-04-09T13:02:52.315+02:00,2024-04-09T08:50:23.531+02:00,2387,1.337689,0,0,1970.191,2,0,2024-04-09T12:41:02.932+02:00,734353390.2513243,0,42.68,99.44483,1,0.85
2024-04-09T13:03:11.904+02:00,1712660590.99881,53.22969102918199,10.40021009298944,35.26184,0,1.211609,73.68775718045516,180,3.367310073407493,4.74191521458548,-9999,28657.10698754167,0.386932373046875,-0.0132904052734375,-0.9267730712890625,28657.07705354167,2.52486168037485,0.3911505866532675,0.02727365786573751,-0.03538079187273979,-0.02575887739658356,0.03273214772343636,0.004250109195709229,-0.002163907513022423,-0.01286929845809937,XArbitraryZVertical,-0.1810875000123093,0.07171974529640064,0.9353835305436982,0.2951630023994711,0.3811105489730835,-0.02727027609944344,-0.9241271615028381,0,0,0,-1,-1,28637.56994825,unknown,2,2024-04-09T13:02:52.315+02:00,2024-04-09T08:50:23.531+02:00,2387,1.337689,0,0,1970.191,2,0,2024-04-09T12:41:02.932+02:00,734353390.2513243,0,42.68,99.44483,1,0.85
2024-04-09T13:03:11.906+02:00,1712660590.99881,53.22969102918199,10.40021009298944,35.26184,0,1.211609,73.68775718045516,180,3.367310073407493,4.74191521458548,-9999,28657.1419095,0.3691253662109375,-0.0396881103515625,-0.925567626953125,28657.1369205,2.524733409459843,0.3907706970604828,0.0257154574149221,-0.1036486625671387,0.02155843749642372,-0.06343033909797668,-0.01015448570251465,-0.01501306518912315,0.003320097923278809,XArbitraryZVertical,-0.1811391144202341,0.07094774461771373,0.935362747617321,0.2953838317203523,0.3807751834392548,-0.02571262419223785,-0.9243100881576538,0,0,0,-1,-1,28637.56994825,unknown,2,2024-04-09T13:02:52.315+02:00,2024-04-09T08:50:23.531+02:00,2387,1.337689,0,0,1970.191,2,0,2024-04-09T12:41:02.932+02:00,734353390.2513243,0,42.68,99.44483,1,0.85
2024-04-09T13:03:11.924+02:00,1712660590.99881,53.22969102918199,10.40021009298944,35.26184,0,1.211609,73.68775718045516,180,3.367310073407493,4.74191521458548,-9999,28657.1768325,0.388916015625,-0.0045928955078125,-0.939361572265625,28657.1369205,2.524733409459843,0.3907706970604828,0.0257154574149221,-0.1036486625671387,0.02155843749642372,-0.06343033909797668,-0.01015448570251465,-0.01501306518912315,0.003320097923278809,XArbitraryZVertical,-0.1811391144202341,0.07094774461771373,0.935362747617321,0.2953838317203523,0.3807751834392548,-0.02571262419223785,-0.9243100881576538,0,0,0,-1,-1,28637.56994825,unknown,2,2024-04-09T13:02:52.315+02:00,2024-04-09T08:50:23.531+02:00,2387,1.337689,0,0,1970.191,2,0,2024-04-09T12:41:02.932+02:00,734353390.2513243,0,42.68,99.44483,1,0.85
2024-04-09T13:03:11.958+02:00,1712660590.99881,53.22969102918199,10.40021009298944,35.26184,0,1.211609,73.68775718045516,180,3.367310073407493,4.74191521458548,-9999,28657.2117565,0.3827056884765625,-0.0184783935546875,-0.938873291015625,28657.1967885,2.523351615748696,0.390849803231675,0.02358797697834533,0.05964456871151924,-0.02832260727882385,-0.02257991954684258,0.007650971412658691,0.01546813361346722,-0.01565873622894287,XArbitraryZVertical,-0.1814468876706604,0.07009140433118405,0.9351007281136651,0.2962278883724633,0.3808682858943939,-0.02358578890562057,-0.9243284463882446,0,0,0,-1,-1,28637.56994825,unknown,2,2024-04-09T13:02:52.315+02:00,2024-04-09T08:50:23.531+02:00,2387,1.337689,0,0,1970.191,2,0,2024-04-09T12:41:02.932+02:00,734353390.2513243,0,42.68,99.44483,1,0.85
2024-04-09T13:03:11.996+02:00,1712660590.99881,53.22969102918199,10.40021009298944,35.26184,0,1.211609,73.68775718045516,180,3.367310073407493,4.74191521458548,-9999,28657.2466795,0.3740997314453125,-0.0496368408203125,-0.9375152587890625,28657.1967885,2.523351615748696,0.390849803231675,0.02358797697834533,0.05964456871151924,-0.02832260727882385,-0.02257991954684258,0.007650971412658691,0.01546813361346722,-0.01565873622894287,XArbitraryZVertical,-0.1814468876706604,0.07009140433118405,0.9351007281136651,0.2962278883724633,0.3808682858943939,-0.02358578890562057,-0.9243284463882446,0,0,0,-1,-1,28637.56994825,unknown,2,2024-04-09T13:02:52.315+02:00,2024-04-09T08:50:23.531+02:00,2387,1.337689,0,0,1970.191,2,0,2024-04-09T12:41:02.932+02:00,734353390.2513243,0,42.68,99.44483,1,0.85
2024-04-09T13:03:12.028+02:00,1712660590.99881,53.22969102918199,10.40021009298944,35.26184,0,1.211609,73.68775718045516,180,3.367310073407493,4.74191521458548,-9999,28657.2816035,0.3940277099609375,-0.025390625,-0.9423675537109375,28657.2566575,2.521572340407855,0.3893305463648379,0.02640089364930738,-0.004227665718644857,0.01164442114531994,-0.0005491101182997227,-0.005337178707122803,-0.02323899418115616,-0.01267427206039429,XArbitraryZVertical,-0.1802501191349656,0.07134009700180899,0.9350408790441058,0.2968485893827285,0.3794368803501129,-0.0263978261500597,-0.9248409867286682,0,0,0,-1,-1,28637.56994825,unknown,2,2024-04-09T13:02:52.315+02:00,2024-04-09T08:50:23.531+02:00,2387,1.337689,0,0,1970.191,2,0,2024-04-09T12:41:02.932+02:00,734353390.2513243,0,42.68,99.44483,1,0.85
2024-04-09T13:03:12.062+02:00,1712660590.99881,53.22969102918199,10.40021009298944,35.26184,0,1.211609,73.68775718045516,180,3.367310073407493,4.74191521458548,-9999,28657.3165265,0.3825531005859375,-0.04180908203125,-0.934722900390625,28657.2566575,2.521572340407855,0.3893305463648379,0.02640089364930738,-0.004227665718644857,0.01164442114531994,-0.0005491101182997227,-0.005337178707122803,-0.02323899418115616,-0.01267427206039429,XArbitraryZVertical,-0.1802501191349656,0.07134009700180899,0.9350408790441058,0.2968485893827285,0.3794368803501129,-0.0263978261500597,-0.9248409867286682,0,0,0,-1,-1,28637.56994825,unknown,2,2024-04-09T13:02:52.315+02:00,2024-04-09T08:50:23.531+02:00,2387,1.337689,0,0,1970.191,2,0,2024-04-09T12:41:02.932+02:00,734353390.2513243,0,42.68,99.44483,1,0.85
2024-04-09T13:03:12.097+02:00,1712660590.99881,53.22969102918199,10.40021009298944,35.26184,0,1.211609,73.68775718045516,180,3.367310073407493,4.74191521458548,-9999,28657.3514495,0.3858184814453125,-0.0318756103515625,-0.9365997314453125,28657.3165265,2.521454055427504,0.3888924603978345,0.02702255584711954,0.005135698243975639,-0.006620737724006176,7.540127262473106e-05,0.005114614963531494,-0.005390381440520287,-0.007991671562194824,XArbitraryZVertical,-0.179947283593682,0.07157587854807217,0.93507718921075,0.2968610397547517,0.3790253698825836,-0.02701926790177822,-0.9249917268753052,0,0,0,-1,-1,28637.56994825,unknown,2,2024-04-09T13:02:52.315+02:00,2024-04-09T08:50:23.531+02:00,2387,1.337689,0,0,1970.191,2,0,2024-04-09T12:41:02.932+02:00,734353390.2513243,0,42.68,99.44483,1,0.85
