loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2024-05-28T12:34:14.837+02:00,21768.00851825,-0.079803466796875,-0.133636474609375,-1.000137329101562
2024-05-28T12:34:14.846+02:00,21768.01848125,-0.078399658203125,-0.1289520263671875,-1.004592895507812
2024-05-28T12:34:14.857+02:00,21768.02844325,-0.0763397216796875,-0.1274566650390625,-0.9937744140625
2024-05-28T12:34:14.866+02:00,21768.03840525,-0.07843017578125,-0.12738037109375,-0.9901123046875
2024-05-28T12:34:14.877+02:00,21768.04836825,-0.0807647705078125,-0.1365509033203125,-0.9933013916015625
2024-05-28T12:34:14.886+02:00,21768.05833025,-0.0832366943359375,-0.1462860107421875,-0.98980712890625
2024-05-28T12:34:14.896+02:00,21768.06829225,-0.08428955078125,-0.1558685302734375,-0.98388671875
2024-05-28T12:34:14.906+02:00,21768.07825425,-0.081878662109375,-0.1572113037109375,-0.983123779296875
2024-05-28T12:34:14.916+02:00,21768.08821725,-0.0767364501953125,-0.148590087890625,-0.9857635498046875
2024-05-28T12:34:14.926+02:00,21768.09817925,-0.07373046875,-0.136871337890625,-0.9857025146484375
2024-05-28T12:34:14.936+02:00,21768.10814125,-0.07672119140625,-0.127777099609375,-0.9881591796875
2024-05-28T12:34:14.946+02:00,21768.11810325,-0.0823822021484375,-0.1237030029296875,-0.983428955078125
2024-05-28T12:34:14.956+02:00,21768.12806625,-0.0831451416015625,-0.1275787353515625,-0.97686767578125
2024-05-28T12:34:14.966+02:00,21768.13802825,-0.079345703125,-0.1356353759765625,-0.9809417724609375
2024-05-28T12:34:14.976+02:00,21768.14799025,-0.0724029541015625,-0.1365509033203125,-0.9810791015625
2024-05-28T12:34:14.986+02:00,21768.15795325,-0.072998046875,-0.130828857421875,-0.973236083984375
2024-05-28T12:34:14.996+02:00,21768.16791525,-0.0731964111328125,-0.1310882568359375,-0.978240966796875
2024-05-28T12:34:15.006+02:00,21768.17787725,-0.0720367431640625,-0.1336212158203125,-0.977081298828125
2024-05-28T12:34:15.016+02:00,21768.18783925,-0.0749053955078125,-0.138763427734375,-0.977294921875
2024-05-28T12:34:15.026+02:00,21768.19780225,-0.0782012939453125,-0.14508056640625,-0.980438232421875
2024-05-28T12:34:15.036+02:00,21768.20776425,-0.079010009765625,-0.1422119140625,-0.974212646484375
2024-05-28T12:34:15.046+02:00,21768.21772625,-0.081085205078125,-0.1346588134765625,-0.9718017578125
2024-05-28T12:34:15.056+02:00,21768.22768825,-0.0789947509765625,-0.129852294921875,-0.9762725830078125
2024-05-28T12:34:15.066+02:00,21768.23765125,-0.074371337890625,-0.1330108642578125,-0.9803924560546875
2024-05-28T12:34:15.075+02:00,21768.24761325,-0.0725555419921875,-0.13568115234375,-0.9857025146484375
2024-05-28T12:34:15.085+02:00,21768.25757525,-0.070526123046875,-0.1298828125,-0.9736328125
2024-05-28T12:34:15.095+02:00,21768.26753825,-0.0726165771484375,-0.124908447265625,-0.9785003662109375
2024-05-28T12:34:15.106+02:00,21768.27750025,-0.073699951171875,-0.12353515625,-0.9936370849609375
2024-05-28T12:34:15.116+02:00,21768.28746225,-0.0765533447265625,-0.122589111328125,-0.9970550537109375
2024-05-28T12:34:15.125+02:00,21768.29742425,-0.0815582275390625,-0.12652587890625,-0.98992919921875
2024-05-28T12:34:15.136+02:00,21768.30738725,-0.0865325927734375,-0.13726806640625,-0.9869232177734375
2024-05-28T12:34:15.145+02:00,21768.31734925,-0.08441162109375,-0.1478729248046875,-0.9883270263671875
2024-05-28T12:34:15.155+02:00,21768.32731125,-0.0806427001953125,-0.1499786376953125,-0.9877166748046875
2024-05-28T12:34:15.165+02:00,21768.33727325,-0.078125,-0.146759033203125,-0.9831085205078125
2024-05-28T12:34:15.176+02:00,21768.34723625,-0.0773162841796875,-0.140716552734375,-0.9843902587890625
2024-05-28T12:34:15.185+02:00,21768.35719825,-0.07513427734375,-0.134857177734375,-0.9914093017578125
2024-05-28T12:34:15.195+02:00,21768.36716025,-0.072723388671875,-0.1262359619140625,-0.9968109130859375
2024-05-28T12:34:15.205+02:00,21768.37712325,-0.0738067626953125,-0.11956787109375,-0.9970855712890625
2024-05-28T12:34:15.215+02:00,21768.38708525,-0.0755615234375,-0.122589111328125,-0.9971160888671875
2024-05-28T12:34:15.225+02:00,21768.39704725,-0.071380615234375,-0.1281585693359375,-0.99383544921875
2024-05-28T12:34:15.235+02:00,21768.40700925,-0.0715484619140625,-0.13140869140625,-0.98944091796875
2024-05-28T12:34:15.245+02:00,21768.41697225,-0.074920654296875,-0.139312744140625,-0.9871978759765625
2024-05-28T12:34:15.255+02:00,21768.42693425,-0.0779876708984375,-0.1470489501953125,-0.9813079833984375
2024-05-28T12:34:15.265+02:00,21768.43689625,-0.081146240234375,-0.152679443359375,-0.980010986328125
2024-05-28T12:34:15.275+02:00,21768.44685825,-0.0808258056640625,-0.153289794921875,-0.979949951171875
2024-05-28T12:34:15.285+02:00,21768.45682125,-0.0825347900390625,-0.1486663818359375,-0.9799957275390625
2024-05-28T12:34:15.295+02:00,21768.46678325,-0.0792388916015625,-0.136932373046875,-0.9859161376953125
2024-05-28T12:34:15.305+02:00,21768.47674525,-0.0764923095703125,-0.1252593994140625,-0.9838714599609375
2024-05-28T12:34:15.315+02:00,21768.48670825,-0.0754547119140625,-0.1185302734375,-0.987396240234375
2024-05-28T12:34:15.325+02:00,21768.49667025,-0.0709075927734375,-0.11712646484375,-0.99005126953125
2024-05-28T12:34:15.335+02:00,21768.50663225,-0.0738067626953125,-0.122711181640625,-0.98883056640625
2024-05-28T12:34:15.344+02:00,21768.51659425,-0.08038330078125,-0.1360321044921875,-0.9846038818359375
2024-05-28T12:34:15.354+02:00,21768.52655725,-0.0868377685546875,-0.149017333984375,-0.9788970947265625
2024-05-28T12:34:15.364+02:00,21768.53651925,-0.0895843505859375,-0.1517791748046875,-0.97430419921875
2024-05-28T12:34:15.374+02:00,21768.54648125,-0.0897979736328125,-0.1468658447265625,-0.9716949462890625
2024-05-28T12:34:15.385+02:00,21768.55644325,-0.088592529296875,-0.1447296142578125,-0.973114013671875
2024-05-28T12:34:15.394+02:00,21768.56640625,-0.0821380615234375,-0.143463134765625,-0.979461669921875
2024-05-28T12:34:15.404+02:00,21768.57636825,-0.073760986328125,-0.13275146484375,-0.9805908203125
2024-05-28T12:34:15.414+02:00,21768.58633025,-0.073516845703125,-0.11590576171875,-0.9757232666015625
2024-05-28T12:34:15.424+02:00,21768.59629325,-0.078338623046875,-0.114288330078125,-0.9810638427734375
2024-05-28T12:34:15.434+02:00,21768.60625525,-0.081878662109375,-0.120330810546875,-0.987823486328125
2024-05-28T12:34:15.444+02:00,21768.61621725,-0.0785369873046875,-0.1278076171875,-0.985931396484375
2024-05-28T12:34:15.454+02:00,21768.62617925,-0.07562255859375,-0.13177490234375,-0.980560302734375
2024-05-28T12:34:15.464+02:00,21768.63614225,-0.0786590576171875,-0.1373748779296875,-0.97698974609375
2024-05-28T12:34:15.474+02:00,21768.64610425,-0.0832366943359375,-0.14501953125,-0.980682373046875
2024-05-28T12:34:15.484+02:00,21768.65606625,-0.08563232421875,-0.1482696533203125,-0.9776611328125
2024-05-28T12:34:15.494+02:00,21768.66602825,-0.086639404296875,-0.15240478515625,-0.9750823974609375
2024-05-28T12:34:15.504+02:00,21768.67599125,-0.0842742919921875,-0.1484222412109375,-0.9767303466796875
2024-05-28T12:34:15.514+02:00,21768.68595325,-0.0796356201171875,-0.1376953125,-0.9797821044921875
2024-05-28T12:34:15.524+02:00,21768.69591525,-0.071258544921875,-0.1267852783203125,-0.9945831298828125
2024-05-28T12:34:15.534+02:00,21768.70587825,-0.067840576171875,-0.11627197265625,-1.000167846679688
2024-05-28T12:34:15.544+02:00,21768.71584025,-0.07275390625,-0.1128082275390625,-0.99822998046875
2024-05-28T12:34:15.554+02:00,21768.72580225,-0.0805206298828125,-0.121795654296875,-0.995208740234375
2024-05-28T12:34:15.564+02:00,21768.73576425,-0.08526611328125,-0.1341552734375,-0.990814208984375
2024-05-28T12:34:15.574+02:00,21768.745728375,-0.0888214111328125,-0.1475677490234375,-0.983245849609375
2024-05-28T12:34:15.584+02:00,21768.755690375,-0.0880126953125,-0.1602325439453125,-0.9802093505859375
2024-05-28T12:34:15.594+02:00,21768.765652375,-0.089569091796875,-0.1598968505859375,-0.978118896484375
2024-05-28T12:34:15.604+02:00,21768.775614375,-0.0845947265625,-0.14990234375,-0.97955322265625
2024-05-28T12:34:15.614+02:00,21768.785577375,-0.0792999267578125,-0.1372222900390625,-0.9843902587890625
2024-05-28T12:34:15.624+02:00,21768.795539375,-0.080047607421875,-0.1270294189453125,-0.9892578125
2024-05-28T12:34:15.634+02:00,21768.805501375,-0.0831146240234375,-0.12640380859375,-0.993072509765625
2024-05-28T12:34:15.643+02:00,21768.815464375,-0.0901031494140625,-0.1346893310546875,-0.9932708740234375
2024-05-28T12:34:15.654+02:00,21768.825426375,-0.0933074951171875,-0.1444854736328125,-0.9964599609375
2024-05-28T12:34:15.663+02:00,21768.835388375,-0.0865936279296875,-0.140777587890625,-0.9799041748046875
2024-05-28T12:34:15.677+02:00,21768.845350375,-0.083953857421875,-0.133056640625,-0.9758758544921875
2024-05-28T12:34:15.683+02:00,21768.855313375,-0.0795135498046875,-0.13238525390625,-0.98370361328125
2024-05-28T12:34:15.693+02:00,21768.865275375,-0.0783538818359375,-0.1354827880859375,-0.9882659912109375
2024-05-28T12:34:15.703+02:00,21768.875237375,-0.0814208984375,-0.138641357421875,-0.9858551025390625
2024-05-28T12:34:15.713+02:00,21768.885199375,-0.0888519287109375,-0.144256591796875,-0.980194091796875
2024-05-28T12:34:15.723+02:00,21768.895162375,-0.0930938720703125,-0.147796630859375,-0.9785003662109375
2024-05-28T12:34:15.733+02:00,21768.905124375,-0.0850982666015625,-0.14068603515625,-0.9794769287109375
2024-05-28T12:34:15.743+02:00,21768.915086375,-0.079986572265625,-0.12982177734375,-0.9849090576171875
2024-05-28T12:34:15.753+02:00,21768.925049375,-0.0736236572265625,-0.1231689453125,-0.9904632568359375
2024-05-28T12:34:15.763+02:00,21768.935011375,-0.0771331787109375,-0.1213531494140625,-0.9876251220703125
2024-05-28T12:34:15.773+02:00,21768.944973375,-0.0832366943359375,-0.127349853515625,-0.981903076171875
2024-05-28T12:34:15.783+02:00,21768.954935375,-0.0875396728515625,-0.142242431640625,-0.97906494140625
2024-05-28T12:34:15.793+02:00,21768.964898375,-0.0885009765625,-0.1578521728515625,-0.980010986328125
2024-05-28T12:34:15.803+02:00,21768.974860375,-0.085601806640625,-0.1639556884765625,-0.974822998046875
2024-05-28T12:34:15.813+02:00,21768.984822375,-0.08575439453125,-0.1603240966796875,-0.9769439697265625
2024-05-28T12:34:15.823+02:00,21768.994784375,-0.086700439453125,-0.148895263671875,-0.98236083984375
2024-05-28T12:34:15.833+02:00,21769.004747375,-0.088623046875,-0.1334075927734375,-0.98193359375
2024-05-28T12:34:15.843+02:00,21769.014709375,-0.0899200439453125,-0.128753662109375,-0.99078369140625
2024-05-28T12:34:15.852+02:00,21769.024671375,-0.0854339599609375,-0.129119873046875,-0.984954833984375
2024-05-28T12:34:15.863+02:00,21769.034634375,-0.082244873046875,-0.12750244140625,-0.9783172607421875
2024-05-28T12:34:15.873+02:00,21769.044596375,-0.07611083984375,-0.1312103271484375,-0.9764862060546875
2024-05-28T12:34:15.883+02:00,21769.054558375,-0.0727386474609375,-0.138519287109375,-0.9815826416015625
2024-05-28T12:34:15.892+02:00,21769.064520375,-0.072418212890625,-0.1470184326171875,-0.98260498046875
2024-05-28T12:34:15.902+02:00,21769.074483375,-0.0777130126953125,-0.1529083251953125,-0.9828643798828125
2024-05-28T12:34:15.912+02:00,21769.084445375,-0.0816802978515625,-0.15997314453125,-0.9821014404296875
2024-05-28T12:34:15.922+02:00,21769.094407375,-0.0906829833984375,-0.1635284423828125,-0.981781005859375
2024-05-28T12:34:15.932+02:00,21769.104370375,-0.0950775146484375,-0.161529541015625,-0.9757537841796875
2024-05-28T12:34:15.942+02:00,21769.114332375,-0.095245361328125,-0.1544952392578125,-0.9788360595703125
2024-05-28T12:34:15.952+02:00,21769.124294375,-0.090545654296875,-0.139068603515625,-0.9935302734375
2024-05-28T12:34:15.962+02:00,21769.134256375,-0.0812835693359375,-0.113189697265625,-0.9921417236328125
2024-05-28T12:34:15.972+02:00,21769.144219375,-0.07666015625,-0.0976715087890625,-0.9958953857421875
2024-05-28T12:34:15.982+02:00,21769.154181375,-0.0751953125,-0.101470947265625,-1.004241943359375
2024-05-28T12:34:15.992+02:00,21769.164143375,-0.077239990234375,-0.1179962158203125,-1.005279541015625
2024-05-28T12:34:16.002+02:00,21769.174105375,-0.0825347900390625,-0.1365966796875,-0.991455078125
2024-05-28T12:34:16.012+02:00,21769.184068375,-0.0905609130859375,-0.15802001953125,-0.980987548828125
2024-05-28T12:34:16.024+02:00,21769.194030375,-0.0856781005859375,-0.172454833984375,-0.9726715087890625
2024-05-28T12:34:16.032+02:00,21769.203992375,-0.0836029052734375,-0.18060302734375,-0.973876953125
2024-05-28T12:34:16.042+02:00,21769.213955375,-0.0838623046875,-0.1787261962890625,-0.972808837890625
2024-05-28T12:34:16.052+02:00,21769.223917375,-0.083648681640625,-0.16107177734375,-0.9757843017578125
2024-05-28T12:34:16.062+02:00,21769.233879375,-0.08343505859375,-0.1387176513671875,-0.9826202392578125
2024-05-28T12:34:16.072+02:00,21769.243841375,-0.0857086181640625,-0.117401123046875,-0.9866180419921875
2024-05-28T12:34:16.082+02:00,21769.253804375,-0.08685302734375,-0.1136322021484375,-1.000656127929688
2024-05-28T12:34:16.092+02:00,21769.263766375,-0.0826416015625,-0.1135711669921875,-0.995849609375
2024-05-28T12:34:16.102+02:00,21769.273728375,-0.0815582275390625,-0.1205596923828125,-0.988861083984375
2024-05-28T12:34:16.112+02:00,21769.283690375,-0.08685302734375,-0.1376800537109375,-0.9862518310546875
2024-05-28T12:34:16.122+02:00,21769.293653375,-0.0900421142578125,-0.156524658203125,-0.982208251953125
2024-05-28T12:34:16.132+02:00,21769.303615375,-0.0901947021484375,-0.1711883544921875,-0.9814605712890625
2024-05-28T12:34:16.142+02:00,21769.313577375,-0.0885467529296875,-0.1722869873046875,-0.969268798828125
2024-05-28T12:34:16.151+02:00,21769.323540375,-0.0868988037109375,-0.16558837890625,-0.968017578125
2024-05-28T12:34:16.162+02:00,21769.333502375,-0.0853118896484375,-0.15679931640625,-0.9814453125
2024-05-28T12:34:16.172+02:00,21769.343464375,-0.0841064453125,-0.13800048828125,-0.9797821044921875
2024-05-28T12:34:16.187+02:00,21769.353426375,-0.0878753662109375,-0.1287994384765625,-0.9800567626953125
2024-05-28T12:34:16.192+02:00,21769.363389375,-0.086273193359375,-0.127044677734375,-0.98529052734375
2024-05-28T12:34:16.202+02:00,21769.373351375,-0.084564208984375,-0.1275482177734375,-0.9839630126953125
2024-05-28T12:34:16.211+02:00,21769.383313375,-0.083740234375,-0.1366424560546875,-0.985565185546875
2024-05-28T12:34:16.221+02:00,21769.393276375,-0.08453369140625,-0.1467132568359375,-0.972320556640625
2024-05-28T12:34:16.231+02:00,21769.403238375,-0.0884246826171875,-0.1486358642578125,-0.9620819091796875
2024-05-28T12:34:16.241+02:00,21769.413200375,-0.09478759765625,-0.148773193359375,-0.968505859375
2024-05-28T12:34:16.251+02:00,21769.423162375,-0.09906005859375,-0.153106689453125,-0.973876953125
2024-05-28T12:34:16.261+02:00,21769.433125375,-0.0961456298828125,-0.1483001708984375,-0.96954345703125
2024-05-28T12:34:16.271+02:00,21769.443087375,-0.092529296875,-0.137176513671875,-0.964996337890625
2024-05-28T12:34:16.281+02:00,21769.453049375,-0.090545654296875,-0.1295013427734375,-0.9747467041015625
2024-05-28T12:34:16.291+02:00,21769.463011375,-0.0868072509765625,-0.1310882568359375,-0.9925079345703125
2024-05-28T12:34:16.301+02:00,21769.472974375,-0.0836944580078125,-0.1274261474609375,-0.9855804443359375
2024-05-28T12:34:16.311+02:00,21769.482936375,-0.086395263671875,-0.1250762939453125,-0.979888916015625
2024-05-28T12:34:16.321+02:00,21769.492898375,-0.092071533203125,-0.13134765625,-0.9877777099609375
2024-05-28T12:34:16.331+02:00,21769.502861375,-0.08953857421875,-0.135589599609375,-0.987945556640625
2024-05-28T12:34:16.341+02:00,21769.512823375,-0.0900115966796875,-0.1357421875,-0.9853057861328125
2024-05-28T12:34:16.351+02:00,21769.522785375,-0.0877227783203125,-0.1356964111328125,-0.976898193359375
2024-05-28T12:34:16.361+02:00,21769.532747375,-0.0864105224609375,-0.1399383544921875,-0.9864044189453125
2024-05-28T12:34:16.371+02:00,21769.542710375,-0.0839385986328125,-0.1398162841796875,-0.990936279296875
2024-05-28T12:34:16.381+02:00,21769.552672375,-0.0853271484375,-0.1359405517578125,-0.9933319091796875
2024-05-28T12:34:16.391+02:00,21769.562634375,-0.089447021484375,-0.1376495361328125,-0.991546630859375
2024-05-28T12:34:16.401+02:00,21769.572596375,-0.0888824462890625,-0.139129638671875,-0.992828369140625
2024-05-28T12:34:16.411+02:00,21769.582559375,-0.0801849365234375,-0.1364288330078125,-1.000274658203125
2024-05-28T12:34:16.421+02:00,21769.592521375,-0.07659912109375,-0.1262359619140625,-0.9969329833984375
2024-05-28T12:34:16.431+02:00,21769.602483375,-0.081817626953125,-0.1190338134765625,-0.9881591796875
2024-05-28T12:34:16.440+02:00,21769.612446375,-0.089630126953125,-0.1195831298828125,-0.9941558837890625
2024-05-28T12:34:16.451+02:00,21769.622408375,-0.0902557373046875,-0.124114990234375,-0.9937286376953125
2024-05-28T12:34:16.460+02:00,21769.632370375,-0.087005615234375,-0.1363983154296875,-0.9928436279296875
2024-05-28T12:34:16.470+02:00,21769.642332375,-0.0859527587890625,-0.1531829833984375,-0.9935760498046875
2024-05-28T12:34:16.480+02:00,21769.652295375,-0.0891876220703125,-0.163055419921875,-0.9837799072265625
2024-05-28T12:34:16.490+02:00,21769.662257375,-0.0924835205078125,-0.167205810546875,-0.9806060791015625
2024-05-28T12:34:16.500+02:00,21769.672219375,-0.094024658203125,-0.165985107421875,-0.982177734375
2024-05-28T12:34:16.510+02:00,21769.682182375,-0.09161376953125,-0.154144287109375,-0.9817047119140625
2024-05-28T12:34:16.520+02:00,21769.692144375,-0.0892181396484375,-0.133148193359375,-0.9793701171875
2024-05-28T12:34:16.530+02:00,21769.702106375,-0.0863189697265625,-0.1145782470703125,-0.9833221435546875
2024-05-28T12:34:16.540+02:00,21769.712068375,-0.0836029052734375,-0.1087493896484375,-0.9907684326171875
2024-05-28T12:34:16.550+02:00,21769.722031375,-0.0807342529296875,-0.1140594482421875,-0.99176025390625
2024-05-28T12:34:16.560+02:00,21769.731993375,-0.0795745849609375,-0.1300048828125,-0.9891510009765625
2024-05-28T12:34:16.570+02:00,21769.74195441667,-0.08203125,-0.14471435546875,-0.9856109619140625
2024-05-28T12:34:16.580+02:00,21769.75191641667,-0.0847625732421875,-0.1487579345703125,-0.9749298095703125
2024-05-28T12:34:16.590+02:00,21769.76187941667,-0.090972900390625,-0.1501007080078125,-0.9754486083984375
2024-05-28T12:34:16.600+02:00,21769.77184141667,-0.0947723388671875,-0.151123046875,-0.97979736328125
2024-05-28T12:34:16.610+02:00,21769.78180341667,-0.0969696044921875,-0.1495208740234375,-0.9823150634765625
2024-05-28T12:34:16.620+02:00,21769.79176641667,-0.0979461669921875,-0.1481781005859375,-0.97821044921875
2024-05-28T12:34:16.630+02:00,21769.80172841667,-0.0970001220703125,-0.147186279296875,-0.97674560546875
2024-05-28T12:34:16.640+02:00,21769.81169041667,-0.0936737060546875,-0.145263671875,-0.982818603515625
2024-05-28T12:34:16.650+02:00,21769.82165241667,-0.0873260498046875,-0.13812255859375,-0.98516845703125
2024-05-28T12:34:16.660+02:00,21769.83161541667,-0.0845489501953125,-0.1277923583984375,-0.9809417724609375
