loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2024-04-17T13:14:04.578+02:00,76.28023125,-0.0453643798828125,-0.060943603515625,-1.003082275390625,76.25528725000001,0.01282842964310165,-0.04503750562261399,0.05852912426603139,-0.03562281653285027,0.0062977634370327,-0.01174656394869089,0.0003895536065101624,-0.004965338855981827,-0.005394935607910156,XArbitraryZVertical,0.02939673014762248,-0.02231911209958217,0.005750960797562568,0.9993020579860441,-0.04494518786668777,-0.05849571153521538,-0.9972753524780273,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.613+02:00,76.31515425000001,-0.037017822265625,-0.056488037109375,-1.001876831054688,76.25528725000001,0.01282842964310165,-0.04503750562261399,0.05852912426603139,-0.03562281653285027,0.0062977634370327,-0.01174656394869089,0.0003895536065101624,-0.004965338855981827,-0.005394935607910156,XArbitraryZVertical,0.02939673014762248,-0.02231911209958217,0.005750960797562568,0.9993020579860441,-0.04494518786668777,-0.05849571153521538,-0.9972753524780273,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.648+02:00,76.35007625,-0.0429534912109375,-0.0615386962890625,-1.006744384765625,76.31515425000001,0.01178186136157303,-0.04434661855123061,0.0569691645154862,-0.0246276929974556,0.007655976340174675,-0.006511854007840157,0.002313781529664993,0.00580640509724617,-0.005518317222595215,XArbitraryZVertical,0.02860378979250633,-0.02199437607193266,0.005255609723585105,0.9993350917659946,-0.04426016286015511,-0.05693835392594337,-0.9973961114883423,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.683+02:00,76.38499925000001,-0.04779052734375,-0.0457000732421875,-1.0096435546875,76.37502125,0.01132845250608114,-0.04431451334514115,0.05503331000181091,-0.04294415935873985,-0.005091912113130093,0.004358103964477777,0.003980290144681931,-0.002794504165649414,-0.006568253040313721,XArbitraryZVertical,0.02763143198151286,-0.02199089849430479,0.005051104744569161,0.9993635387787893,-0.04423294216394424,-0.05500553548336029,-0.997505784034729,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.718+02:00,76.41992125,-0.0446014404296875,-0.0501251220703125,-1.00750732421875,76.37502125,0.01132845250608114,-0.04431451334514115,0.05503331000181091,-0.04294415935873985,-0.005091912113130093,0.004358103964477777,0.003980290144681931,-0.002794504165649414,-0.006568253040313721,XArbitraryZVertical,0.02763143198151286,-0.02199089849430479,0.005051104744569161,0.9993635387787893,-0.04423294216394424,-0.05500553548336029,-0.997505784034729,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.753+02:00,76.45484425000001,-0.0435791015625,-0.058990478515625,-1.003509521484375,76.43488825,0.01162194900264017,-0.04390592175758903,0.05513413788238958,0.01452108658850193,0.006720082834362984,-0.003572637913748622,-0.004484172910451889,0.009955704212188721,-0.009485542774200439,XArbitraryZVertical,0.0276839791163387,-0.02178235495315517,0.005202290946502797,0.9993658362024558,-0.04382512345910072,-0.05510620772838593,-0.9975182414054871,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.788+02:00,76.489766625,-0.0476226806640625,-0.051910400390625,-1.0048828125,76.43488825,0.01162194900264017,-0.04390592175758903,0.05513413788238958,0.01452108658850193,0.006720082834362984,-0.003572637913748622,-0.004484172910451889,0.009955704212188721,-0.009485542774200439,XArbitraryZVertical,0.0276839791163387,-0.02178235495315517,0.005202290946502797,0.9993658362024558,-0.04382512345910072,-0.05510620772838593,-0.9975182414054871,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.823+02:00,76.52468962500001,-0.0452880859375,-0.0470733642578125,-1.002822875976562,76.49475562500001,0.01160379223078912,-0.04374122005578195,0.05432945802685909,-0.003535589203238487,-0.001476859673857689,0.001696160179562867,-0.003792047500610352,-0.001010123640298843,-0.007221817970275879,XArbitraryZVertical,0.02728126805678187,-0.02170288073166629,0.005204357125375911,0.9993786515927855,-0.04366275295615196,-0.05430273339152336,-0.9975694417953491,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.857+02:00,76.559611625,-0.041839599609375,-0.045501708984375,-1.008926391601562,76.55462262500001,0.01142958570143611,-0.04382984229792261,0.0537815482936824,-0.00641313474625349,-0.0001344364136457443,-0.003461469430476427,0.002706345170736313,0.0008994303643703461,-0.004739463329315186,XArbitraryZVertical,0.02700582273325326,-0.02175126903583327,0.005122142711783207,0.9993854288457467,-0.04375245794653893,-0.05375562608242035,-0.9975951313972473,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.892+02:00,76.59453462500001,-0.0438995361328125,-0.0562591552734375,-1.002532958984375,76.55462262500001,0.01142958570143611,-0.04382984229792261,0.0537815482936824,-0.00641313474625349,-0.0001344364136457443,-0.003461469430476427,0.002706345170736313,0.0008994303643703461,-0.004739463329315186,XArbitraryZVertical,0.02700582273325326,-0.02175126903583327,0.005122142711783207,0.9993854288457467,-0.04375245794653893,-0.05375562608242035,-0.9975951313972473,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
