loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2024-04-09T12:44:46.434+02:00,11,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.428717,34.17681884765625,100.8010406494141,34.95050048828125,194.5415496826172,190.3898620605469,14.13029384613037,84241.06509666667,-0.014007568359375,-0.02301025390625,-0.994598388671875,84241.03520166667,-0.001478853286243975,-0.00142239429987967,-0.001160072977654636,84241.03225066667,521.30517578125,-1.260040283203125,-207.4630126953125,84241.04890466668,-0.5262245122806644,-0.01644592899121759,0.02346156300271829,-0.00114139320794493,6.438500713557005e-05,-0.001257671974599361,0.002005906775593758,-0.002021944150328636,0.00587618350982666,XArbitraryCorrectedZVertical,0.009187911503433444,-0.01099018625390889,-0.2601533934481451,0.9654610939092252,-0.01644066162407398,-0.0234594102948904,-0.9995896220207214,34.2230224609375,100.811882019043,35.01374816894531,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.473+02:00,12,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.468618,33.96734619140625,100.8915634155273,35.48823547363281,194.5416259765625,190.3899383544922,14.13029384613037,84241.09872766667,-0.0174407958984375,-0.0224761962890625,-0.99346923828125,84241.06883366668,-0.000627973407972604,-0.001562210265547037,-1.01200121207512e-05,84241.09212866667,521.1068115234375,-1.122634887695312,-207.1178588867188,84241.08378066667,-0.5262235759018423,-0.01643491534036611,0.023437935560768,0.0007435601437464356,0.0004068811540491879,8.019653614610434e-05,0.0003011804074048996,0.001158781349658966,0.00436633825302124,XArbitraryCorrectedZVertical,0.009177942790505437,-0.01098179332897015,-0.2601528212478961,0.9654614930380118,-0.01642966084182262,-0.02343579009175301,-0.9995903372764587,34.00665283203125,100.9194488525391,35.28411865234375,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.494+02:00,13,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.488551,33.9599609375,100.9852600097656,35.45474243164062,194.5404205322266,190.3887329101562,14.13029384613037,84241.13235866667,-0.0189971923828125,-0.0255584716796875,-0.99420166015625,84241.10246466668,-0.002002697205170989,-0.0002719087351579219,-0.001376588013954461,84241.09212866667,521.1068115234375,-1.122634887695312,-207.1178588867188,84241.11865666667,-0.526214849335615,-0.01645632283944615,0.02343447136359207,-0.0001288923667743802,-0.0004304165486246347,0.00105331267695874,-0.001844167709350586,-0.0006604772061109543,0.005510449409484863,XArbitraryCorrectedZVertical,0.009173534006889359,-0.01099163804366712,-0.2601487124645052,0.9654624653832612,-0.01645106263458729,-0.02343232557177544,-0.9995900392532349,33.9599609375,100.9852600097656,35.45474243164062,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.529+02:00,14,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.508499,33.98126220703125,100.8892364501953,35.5849609375,194.5399932861328,190.3883056640625,14.13029289245605,84241.16598866667,-0.0151519775390625,-0.0224456787109375,-0.993621826171875,84241.13609466667,-0.0008167914929799736,-6.098638914409094e-05,-0.001090031815692782,84241.15201066667,521.096923828125,-1.15472412109375,-206.9867553710938,84241.15353366667,-0.5261988022336475,-0.01642836487598467,0.02342895375620048,-0.0005313305882737041,0.001460703322663903,0.000825290335342288,8.101388812065125e-05,-0.0003760773688554764,0.005480527877807617,XArbitraryCorrectedZVertical,0.009174594908882595,-0.01097735051493547,-0.2601408163633589,0.9654647818935344,-0.01642311736941338,-0.02342681027948856,-0.9995906352996826,33.99334716796875,100.869743347168,35.56806945800781,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.564+02:00,15,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.548372,33.9683837890625,100.8582992553711,35.42640686035156,194.5392303466797,190.3875427246094,14.13029289245605,84241.19961966667,-0.0157318115234375,-0.0242919921875,-0.993133544921875,84241.16972566667,-0.001453286968171597,-0.0005480785621330142,-0.0003339604008942842,84241.15201066667,521.096923828125,-1.15472412109375,-206.9867553710938,84241.18840966668,-0.5261897036568357,-0.01643373304078126,0.02341813789348103,0.000414721725974232,-0.0002382724196650088,0.000956466537900269,0.0001016426831483841,0.0004370845854282379,0.006869256496429443,XArbitraryCorrectedZVertical,0.009168725440650753,-0.0109784954969214,-0.2601364386269928,0.9654659294263988,-0.01642848737537861,-0.02341599762439728,-0.9995908141136169,33.98309326171875,100.8215026855469,35.39732360839844,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.598+02:00,16,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.588211,34.08349609375,100.8038940429688,35.39154052734375,194.5388031005859,190.3871154785156,14.13029289245605,84241.23325066667,-0.017486572265625,-0.0254974365234375,-0.9935455322265625,84241.20335666667,-0.001396561623550951,-0.001991511788219213,-0.001317998394370079,84241.21188966667,521.224853515625,-1.203201293945312,-207.0802001953125,84241.22328666667,-0.5261841035424928,-0.01643960198603249,0.02342744411331062,-0.0007239438127726316,0.001570346532389522,0.0006400809506885707,-0.001479405909776688,0.0009041540324687958,0.004519104957580566,XArbitraryCorrectedZVertical,0.009172485333745818,-0.01098251189843897,-0.2601337758755053,0.9654666071264074,-0.01643435098230839,-0.02342530153691769,-0.9995905160903931,34.08349609375,100.8038940429688,35.39154052734375,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.635+02:00,17,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.627998,34.0115966796875,100.9054336547852,35.39347839355469,194.5385284423828,190.3868408203125,14.13029193878174,84241.26688166667,-0.0163726806640625,-0.02166748046875,-0.9933624267578125,84241.23698766668,-0.0004290352517273277,0.000177100213477388,-0.001072188606485724,84241.21188966667,521.224853515625,-1.203201293945312,-207.0802001953125,84241.25816266667,-0.5261796073824533,-0.01642131738041658,0.02342521669008198,0.0006331089534796774,0.001066231750883162,-0.0001301000593230128,-0.001223025843501091,0.002565134316682816,0.006686151027679443,XArbitraryCorrectedZVertical,0.009173812793142597,-0.01097337465404922,-0.2601315085198325,0.9654673442983959,-0.01641607470810413,-0.02342307381331921,-0.9995908737182617,34.0115966796875,100.9054336547852,35.39347839355469,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.675+02:00,18,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.66791,33.9471435546875,100.9815902709961,35.34915161132812,194.5377044677734,190.3860168457031,14.13029289245605,84241.30051266667,-0.0138092041015625,-0.0252227783203125,-0.992950439453125,84241.27061866668,-0.002317216480150819,0.0006146575906313956,-0.002386458683758974,84241.27176666667,521.08154296875,-1.137405395507812,-207.1505279541016,84241.29303866667,-0.5261604935907475,-0.01641531603500379,0.02344515604684611,0.0002402090467512608,0.002054918557405472,-0.0007727959891781211,0.0009529739618301392,-0.001260148361325264,0.006441652774810791,XArbitraryCorrectedZVertical,0.009184324462825874,-0.01097298283390589,-0.260122323371745,0.9654696286490745,-0.01641006767749786,-0.02344300784170628,-0.9995904564857483,34.021484375,100.9717788696289,35.23124694824219,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.698+02:00,19,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.687856,33.9810791015625,100.9845199584961,35.49256896972656,194.5370788574219,190.3853912353516,14.13029193878174,84241.334143,-0.017181396484375,-0.02435302734375,-0.9939117431640625,84241.30424866667,-0.001379783730953932,-0.000257261359365657,-0.001758485217578709,84241.33165000001,521.0368041992188,-0.9649200439453125,-206.9254455566406,84241.32791600001,-0.5261537067814855,-0.01641884134108832,0.02345072702235274,-0.0003769176546484232,-0.001245026476681232,-0.0001667190808802843,5.62276691198349e-05,-0.0004611220210790634,0.006365180015563965,XArbitraryCorrectedZVertical,0.009186592360170553,-0.01097537629132428,-0.2601190594911104,0.9654705393954717,-0.01641358993947506,-0.02344857715070248,-0.999590277671814,33.9503173828125,101.0326461791992,35.58563232421875,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.733+02:00,20,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.727748,33.99835205078125,100.9669189453125,35.6927490234375,194.5369110107422,190.3852233886719,14.13029193878174,84241.36777500001,-0.01629638671875,-0.023040771484375,-0.9947509765625,84241.337881,-0.0005946838646195829,-0.000990429543890059,-0.002179797273129225,84241.33165000001,521.0368041992188,-0.9649200439453125,-206.9254455566406,84241.362792,-0.5261511845267682,-0.01643392000089843,0.02343581470098303,4.94043342769146e-05,-0.001016421709209681,0.0009681759984232485,-0.001012068241834641,-0.000201372429728508,0.007067203521728516,XArbitraryCorrectedZVertical,0.009177446046834979,-0.01098070577474238,-0.2601178770537427,0.9654708736908504,-0.01642866805195808,-0.02343366853892803,-0.9995903968811035,33.99835205078125,100.9669189453125,35.6927490234375,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
