,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label
238,2024-06-20T17:46:07.313+02:00,4081.255853375,1.404525756835938,0.9649810791015624,0.427032470703125,
239,2024-06-20T17:46:07.323+02:00,4081.265911375,2.610610961914062,1.252243041992188,0.4490966796875,
240,2024-06-20T17:46:07.333+02:00,4081.275968375,2.654281616210938,1.118881225585938,0.3917388916015625,
241,2024-06-20T17:46:07.343+02:00,4081.286026375,1.626800537109375,0.949005126953125,-0.0345306396484375,
242,2024-06-20T17:46:07.353+02:00,4081.296083375,0.6126556396484375,0.7065277099609375,-0.16400146484375,
243,2024-06-20T17:46:07.363+02:00,4081.306141375,0.199554443359375,0.376556396484375,-0.187713623046875,
244,2024-06-20T17:46:07.373+02:00,4081.316198375,0.270050048828125,0.210693359375,-0.3508148193359375,
245,2024-06-20T17:46:07.384+02:00,4081.326256375,0.4604339599609375,0.200439453125,-0.42425537109375,
246,2024-06-20T17:46:07.394+02:00,4081.336314375,0.571746826171875,0.22955322265625,-0.55548095703125,
247,2024-06-20T17:46:07.404+02:00,4081.346371375,0.5748443603515625,0.26678466796875,-0.6209564208984375,
248,2024-06-20T17:46:07.414+02:00,4081.356429375,0.524261474609375,0.26177978515625,-0.5320281982421875,
249,2024-06-20T17:46:07.424+02:00,4081.366486375,0.4912109375,0.2329864501953125,-0.4008026123046875,
250,2024-06-20T17:46:07.434+02:00,4081.376544375,0.47393798828125,0.224639892578125,-0.33367919921875,
251,2024-06-20T17:46:07.444+02:00,4081.386601375,0.4403076171875,0.231048583984375,-0.364776611328125,
252,2024-06-20T17:46:07.454+02:00,4081.396659375,0.3794403076171875,0.3263702392578125,-0.4263458251953125,
253,2024-06-20T17:46:07.464+02:00,4081.406716375,0.336517333984375,0.4422760009765625,-0.5343780517578125,
254,2024-06-20T17:46:07.474+02:00,4081.416774375,0.34423828125,0.4629669189453125,-0.6434478759765625,
255,2024-06-20T17:46:07.484+02:00,4081.426832375,0.3813629150390625,0.4239959716796875,-0.703125,
256,2024-06-20T17:46:07.494+02:00,4081.436889375,0.4353485107421875,0.3570709228515625,-0.7285308837890625,
257,2024-06-20T17:46:07.504+02:00,4081.446947375,0.4770050048828125,0.2784423828125,-0.714111328125,
258,2024-06-20T17:46:07.514+02:00,4081.457004375,0.5057220458984375,0.22821044921875,-0.6533966064453125,
259,2024-06-20T17:46:07.524+02:00,4081.467062375,0.5245208740234375,0.2122802734375,-0.61236572265625,
260,2024-06-20T17:46:07.534+02:00,4081.477119375,0.513763427734375,0.2048797607421875,-0.5893707275390625,
261,2024-06-20T17:46:07.545+02:00,4081.487177375,0.4772796630859375,0.2461700439453125,-0.573333740234375,
262,2024-06-20T17:46:07.555+02:00,4081.497234375,0.4307861328125,0.324127197265625,-0.57196044921875,
263,2024-06-20T17:46:07.565+02:00,4081.507292375,0.39251708984375,0.3866424560546875,-0.6088714599609375,
264,2024-06-20T17:46:07.575+02:00,4081.517350375,0.35870361328125,0.4109954833984375,-0.67706298828125,
265,2024-06-20T17:46:07.585+02:00,4081.527407375,0.3399810791015625,0.412841796875,-0.7406005859375,
266,2024-06-20T17:46:07.595+02:00,4081.537465375,0.35711669921875,0.4135894775390625,-0.779754638671875,
267,2024-06-20T17:46:07.605+02:00,4081.547522375,0.3957061767578125,0.4162750244140625,-0.8168182373046875,
268,2024-06-20T17:46:07.615+02:00,4081.557580375,0.426513671875,0.407928466796875,-0.839324951171875,
269,2024-06-20T17:46:07.625+02:00,4081.567637375,0.4380645751953125,0.416778564453125,-0.8450775146484375,
270,2024-06-20T17:46:07.635+02:00,4081.577695375,0.4247283935546875,0.4290924072265625,-0.81494140625,
271,2024-06-20T17:46:07.645+02:00,4081.587752375,0.4109954833984375,0.4279022216796875,-0.9356842041015624,
272,2024-06-20T17:46:07.655+02:00,4081.597810375,0.4421844482421875,0.3950042724609375,-0.695068359375,
273,2024-06-20T17:46:07.665+02:00,4081.607868375,0.4221954345703125,0.3604583740234375,-0.5015869140625,
274,2024-06-20T17:46:07.675+02:00,4081.617925375,0.3905487060546875,0.2886505126953125,-0.3035888671875,
275,2024-06-20T17:46:07.685+02:00,4081.627983375,0.336700439453125,0.239837646484375,-0.2247467041015625,
276,2024-06-20T17:46:07.695+02:00,4081.638040375,0.299224853515625,0.2961578369140625,-0.38812255859375,
277,2024-06-20T17:46:07.705+02:00,4081.648098375,0.250946044921875,0.420013427734375,-0.5299224853515625,
278,2024-06-20T17:46:07.715+02:00,4081.658155375,0.1709136962890625,0.4500274658203125,-0.7241058349609375,
279,2024-06-20T17:46:07.726+02:00,4081.668213375,0.104827880859375,0.6973724365234375,-0.68426513671875,
280,2024-06-20T17:46:07.736+02:00,4081.678270375,-0.18621826171875,1.02337646484375,-0.4194488525390625,
281,2024-06-20T17:46:07.746+02:00,4081.688328375,-0.4316864013671875,0.89630126953125,-0.70880126953125,
282,2024-06-20T17:46:07.756+02:00,4081.698386375,-0.3151397705078125,0.70916748046875,-0.5792236328125,
283,2024-06-20T17:46:07.766+02:00,4081.708443375,-0.064605712890625,0.6912384033203125,-0.1397705078125,
284,2024-06-20T17:46:07.776+02:00,4081.718501375,0.080047607421875,0.628021240234375,0.08880615234375,
285,2024-06-20T17:46:07.786+02:00,4081.728558375,0.1498870849609375,0.4564056396484375,0.19073486328125,
286,2024-06-20T17:46:07.796+02:00,4081.738616375,0.171112060546875,0.43463134765625,0.2262725830078125,
