,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label
0,2024-06-20T18:05:07.524+02:00,5031.171240166667,-0.1059417724609375,-0.4187164306640625,-0.8727569580078125,
1,2024-06-20T18:05:07.525+02:00,5031.181297166667,-0.1265869140625,-0.4199981689453125,-0.8782806396484375,
2,2024-06-20T18:05:07.535+02:00,5031.191355166667,-0.144500732421875,-0.3769073486328125,-0.9077606201171876,
3,2024-06-20T18:05:07.541+02:00,5031.201412166667,-0.1452178955078125,-0.344207763671875,-0.9327392578125,
4,2024-06-20T18:05:07.551+02:00,5031.211469166667,-0.1321258544921875,-0.35882568359375,-0.9445648193359376,
5,2024-06-20T18:05:07.561+02:00,5031.221527166667,-0.1219024658203125,-0.3720703125,-0.9502716064453124,
6,2024-06-20T18:05:07.572+02:00,5031.231584166667,-0.1314697265625,-0.3656463623046875,-0.95245361328125,
7,2024-06-20T18:05:07.582+02:00,5031.241642166667,-0.1368255615234375,-0.359588623046875,-0.949859619140625,
8,2024-06-20T18:05:07.592+02:00,5031.251699166667,-0.136505126953125,-0.3592529296875,-0.9340667724609376,
9,2024-06-20T18:05:07.602+02:00,5031.261756166667,-0.1300506591796875,-0.372100830078125,-0.9145965576171876,
10,2024-06-20T18:05:07.612+02:00,5031.271814166667,-0.1247711181640625,-0.3852386474609375,-0.8993988037109375,
11,2024-06-20T18:05:07.622+02:00,5031.281871166667,-0.115509033203125,-0.398468017578125,-0.88623046875,
12,2024-06-20T18:05:07.632+02:00,5031.291928166667,-0.114837646484375,-0.4053192138671875,-0.8771514892578125,
13,2024-06-20T18:05:07.642+02:00,5031.301986166667,-0.1238861083984375,-0.3968963623046875,-0.892822265625,
14,2024-06-20T18:05:07.652+02:00,5031.312043166667,-0.1213836669921875,-0.3872222900390625,-0.9206085205078124,
15,2024-06-20T18:05:07.662+02:00,5031.322101166667,-0.118194580078125,-0.3764190673828125,-0.9311981201171876,
