,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),label
0,2024-04-17T12:59:26.589+02:00,126107.669189625,-0.0547943115234375,-0.1903839111328125,-0.9761505126953124,126107.659211625,-0.0619921630772778,-0.070578772074473,0.2103322919108393,0.0068746851757168,-0.0364807471632957,0.0725578367710113,0.0395165532827377,0.0031270086765289,0.0076923370361328,XArbitraryZVertical,0.1037692636480329,-0.0383214671777672,-0.0345025727386579,0.9932637778681036,-0.0689660385251045,-0.2087848782539368,-0.9755268096923828,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,
1,2024-04-17T12:59:26.604+02:00,126107.704111625,-0.0711517333984375,-0.1979827880859375,-1.002609252929688,126107.659211625,-0.0619921630772778,-0.070578772074473,0.2103322919108393,0.0068746851757168,-0.0364807471632957,0.0725578367710113,0.0395165532827377,0.0031270086765289,0.0076923370361328,XArbitraryZVertical,0.1037692636480329,-0.0383214671777672,-0.0345025727386579,0.9932637778681036,-0.0689660385251045,-0.2087848782539368,-0.9755268096923828,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,
2,2024-04-17T12:59:26.639+02:00,126107.739034625,-0.0759124755859375,-0.21246337890625,-1.00225830078125,126107.719078625,-0.0588283868076278,-0.0719719689721511,0.2061072197713383,0.0245354808866977,0.0023736115545034,0.0742399618029594,0.0176534801721572,0.0193789452314376,-0.0408957600593566,XArbitraryZVertical,0.1017077197786895,-0.0387953401510159,-0.0329345057113667,0.9935119001722796,-0.070387877523899,-0.2046510726213455,-0.9763008952140808,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,
3,2024-04-17T12:59:26.674+02:00,126107.773957625,-0.0619354248046875,-0.2203369140625,-0.966400146484375,126107.719078625,-0.0588283868076278,-0.0719719689721511,0.2061072197713383,0.0245354808866977,0.0023736115545034,0.0742399618029594,0.0176534801721572,0.0193789452314376,-0.0408957600593566,XArbitraryZVertical,0.1017077197786895,-0.0387953401510159,-0.0329345057113667,0.9935119001722796,-0.070387877523899,-0.2046510726213455,-0.9763008952140808,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,
4,2024-04-17T12:59:26.709+02:00,126107.808879625,-0.0821075439453125,-0.1943511962890625,-0.9805908203125,126107.778946625,-0.058831735020312,-0.0718737464125044,0.2025474510318648,-0.069733627140522,0.0158583931624889,-0.0283442009240388,0.0084084048867225,-0.0191714614629745,0.0106281042098999,XArbitraryZVertical,0.099940389055451,-0.0387011957269244,-0.0328729220173883,0.9936969136104724,-0.0703438520431518,-0.2011653482913971,-0.9770282506942748,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,
5,2024-04-17T12:59:26.744+02:00,126107.843802625,-0.075439453125,-0.2148284912109375,-0.9879608154296876,126107.838813625,-0.0603593897296377,-0.0708986944324516,0.2049242162939983,0.0228693205863237,0.0267166532576084,-0.013535656966269,-0.0124605447053909,-0.0131359696388244,-0.0113135576248168,XArbitraryZVertical,0.1011082472299906,-0.0383244435148123,-0.0336214461754334,0.9935683859882564,-0.0693570971488952,-0.2034929692745209,-0.9766167402267456,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,
6,2024-04-17T12:59:26.779+02:00,126107.878725625,-0.060028076171875,-0.193817138671875,-0.9903564453125,126107.838813625,-0.0603593897296377,-0.0708986944324516,0.2049242162939983,0.0228693205863237,0.0267166532576084,-0.013535656966269,-0.0124605447053909,-0.0131359696388244,-0.0113135576248168,XArbitraryZVertical,0.1011082472299906,-0.0383244435148123,-0.0336214461754334,0.9935683859882564,-0.0693570971488952,-0.2034929692745209,-0.9766167402267456,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,
7,2024-04-17T12:59:26.816+02:00,126107.913648625,-0.07550048828125,-0.2157135009765625,-0.976043701171875,126107.898681625,-0.0609141289242817,-0.0689916104282422,0.2036069597396891,-0.0404128059744834,0.01974917948246,-0.0051269540563225,-0.0057598277926445,-0.0029817521572113,-0.010214626789093,XArbitraryZVertical,0.1004753175464986,-0.0373874439894956,-0.0337800718771718,0.9936628977409242,-0.0675129070878028,-0.202203094959259,-0.9770137667655944,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,
8,2024-04-17T12:59:26.849+02:00,126107.948570625,-0.062957763671875,-0.207000732421875,-0.9827117919921876,126107.898681625,-0.0609141289242817,-0.0689916104282422,0.2036069597396891,-0.0404128059744834,0.01974917948246,-0.0051269540563225,-0.0057598277926445,-0.0029817521572113,-0.010214626789093,XArbitraryZVertical,0.1004753175464986,-0.0373874439894956,-0.0337800718771718,0.9936628977409242,-0.0675129070878028,-0.202203094959259,-0.9770137667655944,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,
9,2024-04-17T12:59:26.884+02:00,126107.983493625,-0.06866455078125,-0.2128448486328125,-0.9832305908203124,126107.958548625,-0.0606264936337481,-0.0690487233003208,0.2007097027255965,-0.072797954082489,-0.0086345821619033,-0.0059419963508844,0.0021333470940589,-0.0123049914836883,-0.0043433308601379,XArbitraryZVertical,0.0990398643300279,-0.0373627557826359,-0.0335947366694675,0.9938142286122932,-0.0676088407635688,-0.1993648409843445,-0.977590262889862,0,0,0,-1,-1,126070.516262,unknown,2,2024-04-17T12:58:49.415+02:00,,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,
