,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label
0,2024-07-02T10:34:04.641+02:00,1826.177489375,-0.016143798828125,-0.2194061279296875,-0.89166259765625,
1,2024-07-02T10:34:04.661+02:00,1826.197457375,0.01702880859375,-0.217193603515625,-0.9055633544921876,
2,2024-07-02T10:34:04.681+02:00,1826.217428375,0.0298614501953125,-0.2459564208984375,-0.916961669921875,
3,2024-07-02T10:34:04.701+02:00,1826.237400375,0.014312744140625,-0.23199462890625,-0.900909423828125,
4,2024-07-02T10:34:04.721+02:00,1826.257370375,0.0026092529296875,-0.2279052734375,-0.89105224609375,
5,2024-07-02T10:34:04.741+02:00,1826.277338375,0.0055389404296875,-0.2261199951171875,-0.9052886962890624,
6,2024-07-02T10:34:04.761+02:00,1826.297308375,-0.0203399658203125,-0.274078369140625,-0.8841552734375,
7,2024-07-02T10:34:04.781+02:00,1826.317277375,-0.03924560546875,-0.2591705322265625,-0.87274169921875,
8,2024-07-02T10:34:04.801+02:00,1826.337246375,-0.027557373046875,-0.2613372802734375,-0.891510009765625,
9,2024-07-02T10:34:04.821+02:00,1826.357214375,0.016021728515625,-0.2866668701171875,-0.8861846923828125,
10,2024-07-02T10:34:04.841+02:00,1826.377183375,-0.0246429443359375,-0.29327392578125,-0.8697967529296875,
11,2024-07-02T10:34:04.861+02:00,1826.397152375,-0.037017822265625,-0.2894439697265625,-0.8673858642578125,
12,2024-07-02T10:34:04.885+02:00,1826.417120375,-0.0320587158203125,-0.332733154296875,-0.8634490966796875,
13,2024-07-02T10:34:04.901+02:00,1826.437089375,-0.04931640625,-0.3600311279296875,-0.8665771484375,
14,2024-07-02T10:34:04.921+02:00,1826.457059375,-0.0601654052734375,-0.3406524658203125,-0.8651275634765625,
15,2024-07-02T10:34:04.941+02:00,1826.477028375,-0.048492431640625,-0.330810546875,-0.9031524658203124,
16,2024-07-02T10:34:04.961+02:00,1826.496995375,-0.038665771484375,-0.3557281494140625,-0.9467926025390624,
17,2024-07-02T10:34:04.981+02:00,1826.516964375,-0.041595458984375,-0.37896728515625,-0.9506378173828124,
18,2024-07-02T10:34:05.001+02:00,1826.536932375,-0.0508270263671875,-0.3962554931640625,-0.9322662353515624,
19,2024-07-02T10:34:05.021+02:00,1826.55689875,-0.048736572265625,-0.37091064453125,-0.9530792236328124,
20,2024-07-02T10:34:05.048+02:00,1826.57686575,-0.0383453369140625,-0.3355560302734375,-0.9813995361328124,
21,2024-07-02T10:34:05.061+02:00,1826.59683375,-0.0426483154296875,-0.3420257568359375,-1.002777099609375,
22,2024-07-02T10:34:05.081+02:00,1826.61680075,-0.030914306640625,-0.3754119873046875,-1.0123291015625,
23,2024-07-02T10:34:05.101+02:00,1826.63676875,-0.0211181640625,-0.3979034423828125,-0.96783447265625,
24,2024-07-02T10:34:05.121+02:00,1826.65673675,-0.0118865966796875,-0.4193115234375,-0.966400146484375,
25,2024-07-02T10:34:05.141+02:00,1826.67670375,-0.030487060546875,-0.3593292236328125,-1.086654663085938,
26,2024-07-02T10:34:05.161+02:00,1826.69667275,-0.02178955078125,-0.3547821044921875,-1.064361572265625,
27,2024-07-02T10:34:05.181+02:00,1826.71664075,-0.045318603515625,-0.351318359375,-1.05078125,
28,2024-07-02T10:34:05.200+02:00,1826.73660975,0.0028228759765625,-0.3240203857421875,-1.0576171875,
29,2024-07-02T10:34:05.221+02:00,1826.75657775,0.017730712890625,-0.293212890625,-1.03997802734375,
30,2024-07-02T10:34:05.240+02:00,1826.77654575,0.0328216552734375,-0.25726318359375,-0.966949462890625,
31,2024-07-02T10:34:05.260+02:00,1826.79651475,0.0938262939453125,-0.2322540283203125,-0.9111175537109376,
32,2024-07-02T10:34:05.280+02:00,1826.81648375,0.132720947265625,-0.1832733154296875,-0.9196624755859376,
33,2024-07-02T10:34:05.300+02:00,1826.83645375,0.1205596923828125,-0.1735992431640625,-0.9457855224609376,
34,2024-07-02T10:34:05.320+02:00,1826.85642375,0.11083984375,-0.1585845947265625,-0.9163665771484376,
35,2024-07-02T10:34:05.340+02:00,1826.87639175,0.127166748046875,-0.17474365234375,-0.8876800537109375,
36,2024-07-02T10:34:05.360+02:00,1826.89636075,0.10760498046875,-0.19952392578125,-0.90484619140625,
37,2024-07-02T10:34:05.380+02:00,1826.91632975,0.096282958984375,-0.1533966064453125,-0.9112701416015624,
38,2024-07-02T10:34:05.400+02:00,1826.93629775,0.120208740234375,-0.1420745849609375,-0.9162445068359376,
39,2024-07-02T10:34:05.420+02:00,1826.95626575,0.1100311279296875,-0.1796722412109375,-0.9101409912109376,
40,2024-07-02T10:34:05.440+02:00,1826.97623475,0.0706939697265625,-0.1828460693359375,-0.9026641845703124,
41,2024-07-02T10:34:05.460+02:00,1826.99620275,0.035247802734375,-0.15386962890625,-0.8712921142578125,
42,2024-07-02T10:34:05.480+02:00,1827.01617175,0.104156494140625,-0.17864990234375,-0.86572265625,
43,2024-07-02T10:34:05.500+02:00,1827.03614075,0.08770751953125,-0.1921234130859375,-0.9107208251953124,
44,2024-07-02T10:34:05.520+02:00,1827.05610975,0.025665283203125,-0.195098876953125,-0.934844970703125,
45,2024-07-02T10:34:05.543+02:00,1827.07607975,-0.0232086181640625,-0.2093963623046875,-0.911224365234375,
46,2024-07-02T10:34:05.560+02:00,1827.09604875,-0.0663604736328125,-0.252227783203125,-0.8484344482421875,
47,2024-07-02T10:34:05.580+02:00,1827.11601775,-0.1693572998046875,-0.2972412109375,-0.820404052734375,
