,accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label
162,126113.3266756667,-2.011566162109375,1.4576416015625,-2.157424926757812,
163,126113.3615986667,0.6381988525390625,-4.302719116210938,0.016510009765625,
164,126113.3965206667,-0.1449127197265625,0.981964111328125,-0.4662628173828125,
165,126113.4314436667,0.210540771484375,0.49603271484375,-0.865570068359375,
166,126113.4663666667,0.288330078125,0.3459320068359375,-0.5523681640625,
167,126113.5012896667,0.2390289306640625,0.594696044921875,-0.4526824951171875,
168,126113.5362116667,0.5061492919921875,0.71343994140625,-0.1271514892578125,
169,126113.5711346667,0.4089813232421875,0.64935302734375,-0.04071044921875,
170,126113.6060576667,0.255157470703125,0.79449462890625,-0.0957489013671875,
171,126113.640978875,0.29132080078125,0.4557647705078125,-0.2841949462890625,
172,126113.675901875,0.2742156982421875,0.2970733642578125,-0.2644500732421875,
173,126113.710823875,0.1268310546875,0.415252685546875,-0.4127960205078125,
174,126113.745746875,-0.11273193359375,0.887298583984375,-0.6546173095703125,
175,126113.780669875,-0.1424407958984375,0.4871673583984375,-0.354034423828125,
176,126113.815592875,-0.5540618896484375,1.008071899414062,-0.6425018310546875,
177,126113.850514875,-0.9510040283203124,1.02337646484375,-0.590301513671875,
178,126113.885437875,-1.112533569335938,1.146575927734375,-0.8420257568359375,
179,126113.920360875,-1.19000244140625,1.222076416015625,-0.9085235595703124,
180,126113.955283875,-0.8337860107421875,0.662994384765625,-0.8809967041015625,
181,126113.990205875,-0.659820556640625,0.600341796875,-0.8224945068359375,
182,126114.025128875,-0.7202911376953125,0.38433837890625,-0.8885955810546875,
183,126114.060051875,-0.682647705078125,0.1992034912109375,-0.731719970703125,
184,126114.094974875,-0.809234619140625,0.1971435546875,-0.572052001953125,
185,126114.129896875,-0.915008544921875,-0.0106048583984375,-0.4929046630859375,
186,126114.164819875,-0.991424560546875,0.102020263671875,-0.4804534912109375,
187,126114.199742875,-1.032989501953125,0.07647705078125,-0.5952301025390625,
188,126114.234665875,-1.018875122070312,0.2649688720703125,-0.580474853515625,
189,126114.269588875,-0.8908233642578125,0.186981201171875,-0.64984130859375,
190,126114.304510875,-0.8062286376953125,0.0332489013671875,-0.440399169921875,
191,126114.339433875,-0.828094482421875,0.1083221435546875,-0.4747314453125,
192,126114.374356875,-0.86383056640625,0.0945281982421875,-0.5878143310546875,
193,126114.409279875,-0.9745635986328124,0.142822265625,-0.4599761962890625,
194,126114.444201875,-1.087158203125,0.273956298828125,-1.12548828125,
195,126114.479124875,-1.016830444335938,0.111724853515625,-0.532135009765625,
196,126114.514047875,-1.14215087890625,0.2713470458984375,-0.8812713623046875,
197,126114.548969875,-1.037765502929688,0.378662109375,-0.8081512451171875,
198,126114.583892875,-0.9567718505859376,0.36224365234375,-0.4237213134765625,
199,126114.618816,-0.8771209716796875,0.5598907470703125,-0.4872283935546875,
200,126114.653739,-0.78594970703125,0.5741119384765625,-0.393768310546875,
201,126114.688662,-0.7276153564453125,0.4949188232421875,-0.4104461669921875,
202,126114.723584,-0.6635284423828125,0.60919189453125,-0.22320556640625,
203,126114.758507,-0.6642303466796875,0.625244140625,-0.2735137939453125,
204,126114.79343,-0.6482696533203125,0.7196807861328125,-0.078216552734375,
205,126114.828353,-0.6559295654296875,0.6336212158203125,-0.127777099609375,
206,126114.863275,-0.71746826171875,0.66021728515625,-0.11444091796875,
207,126114.898198,-0.6893768310546875,0.8199310302734375,-0.1834259033203125,
208,126114.933121,-0.67205810546875,0.679718017578125,-0.1650848388671875,
209,126114.968044,-0.697479248046875,0.7542724609375,-0.10247802734375,
210,126115.002966,-0.6608734130859375,0.6433258056640625,-0.1451873779296875,
211,126115.037889,-0.55902099609375,0.6443328857421875,-0.209381103515625,
212,126115.072812,-0.49041748046875,0.784271240234375,-0.1039276123046875,
213,126115.107735,-0.509429931640625,0.50213623046875,0.0284423828125,
214,126115.142657,-0.542236328125,0.709716796875,-0.01763916015625,
215,126115.17758,-0.5269927978515625,0.7850799560546875,0.0384979248046875,
216,126115.212503,-0.53875732421875,0.48974609375,0.123687744140625,
217,126115.247426,-0.5059051513671875,0.3893890380859375,0.0596466064453125,
218,126115.282348,-0.6123199462890625,0.7046966552734375,0.1444091796875,
219,126115.317271,-0.6435699462890625,0.8058624267578125,0.0568695068359375,
220,126115.352194,-0.7357330322265625,0.85821533203125,0.08349609375,
221,126115.387117,-0.8022918701171875,0.9647216796875,0.1185760498046875,
222,126115.422039,-0.80206298828125,1.107528686523438,-0.0347747802734375,
223,126115.456962,-0.807769775390625,1.151214599609375,-0.10589599609375,
224,126115.491885,-0.8319244384765625,1.471878051757812,-0.1695404052734375,
225,126115.526808,-0.7836761474609375,1.330917358398438,-0.246612548828125,
226,126115.561731,-0.7501373291015625,1.605911254882812,-0.1970062255859375,
227,126115.596653,-0.6876068115234375,1.256393432617188,-0.212615966796875,
228,126115.631577375,-0.350830078125,1.3251953125,-0.095794677734375,
229,126115.666500375,-0.16021728515625,0.95526123046875,0.029754638671875,
230,126115.701422375,0.126678466796875,0.6551361083984375,0.17547607421875,
231,126115.736345375,0.3420562744140625,0.404693603515625,0.349609375,
232,126115.771268375,0.4692230224609375,0.6402587890625,0.48876953125,
233,126115.806191375,0.541839599609375,0.5028076171875,0.4438934326171875,
234,126115.841114375,0.2609405517578125,0.37371826171875,0.2378082275390625,
235,126115.876036375,0.0081024169921875,-0.14129638671875,-0.169036865234375,
236,126115.910959375,-0.754425048828125,0.1422271728515625,-0.128875732421875,
237,126115.945882375,-2.154632568359375,0.1151275634765625,-1.249526977539062,
238,126115.980804375,-2.307113647460938,0.670074462890625,-1.24530029296875,
239,126116.015727375,-1.647171020507812,0.4866943359375,-0.9991912841796876,
240,126116.050650375,-1.166168212890625,0.2433013916015625,-0.95867919921875,
